snapshot_id,snapshot_date,product_id,store_id,stock_on_hand,stock_reserved,stock_available,reorder_point,days_of_cover,stock_status,scenario_phase
56,2024-11-27,109,6,92,10,82,47,14,Healthy,Current
57,2024-04-17,64,6,138,47,91,90,31,Healthy,Current
58,2025-12-11,111,2,87,82,5,113,14,Low Stock,Current
59,2024-09-08,114,3,98,12,86,81,22,Healthy,Future
60,2024-06-12,60,6,256,10,246,79,2,Healthy,Future
61,2024-04-02,40,1,257,12,245,95,12,Healthy,Current
62,2024-04-07,90,2,167,22,145,57,46,Healthy,Future
63,2025-05-24,40,1,114,61,53,97,30,Low Stock,Current
64,2025-08-23,96,2,48,33,15,99,26,Low Stock,Future
65,2025-12-04,25,2,249,39,210,122,30,Healthy,Current
66,2024-12-11,58,6,125,5,120,53,28,Healthy,Current
67,2025-11-22,103,1,50,74,0,115,42,Stockout,Current
68,2024-01-07,31,5,243,60,183,65,49,Healthy,Current
69,2025-03-11,75,5,61,40,21,120,26,Low Stock,Future
70,2025-05-16,17,3,211,59,152,43,2,Healthy,Current
71,2025-08-05,100,5,142,19,123,44,21,Healthy,Future
72,2025-11-15,50,3,87,51,36,139,24,Low Stock,Current
73,2024-10-23,103,4,275,15,260,86,43,Healthy,Future
74,2024-07-02,114,2,107,60,47,80,44,Low Stock,Current
75,2024-02-29,102,3,86,16,70,45,47,Healthy,Current
76,2024-08-17,113,4,61,34,27,122,19,Low Stock,Future
77,2025-11-03,61,6,271,55,216,95,11,Healthy,Future
78,2024-12-24,23,2,60,59,1,59,5,Low Stock,Future
79,2024-02-13,90,1,22,53,0,57,20,Stockout,Current
80,2025-11-22,13,6,221,36,185,138,40,Healthy,Current
81,2024-12-18,22,5,76,8,68,119,17,Low Stock,Current
82,2025-07-25,8,6,358,31,327,58,23,Healthy,Future
83,2024-08-25,104,1,138,71,67,112,26,Low Stock,Future
84,2025-08-13,22,1,13,84,0,61,13,Stockout,Current
85,2025-05-21,86,6,142,74,68,51,23,Healthy,Current
86,2024-09-01,103,2,127,24,103,99,21,Healthy,Future
87,2025-03-09,84,6,164,26,138,104,44,Healthy,Future
88,2025-09-28,37,1,157,42,115,129,46,Low Stock,Future
89,2024-06-26,16,1,192,16,176,89,19,Healthy,Future
90,2024-02-26,22,2,14,9,5,44,5,Low Stock,Current
91,2024-02-11,43,2,242,47,195,45,26,Healthy,Current
92,2025-10-13,99,6,9,19,0,61,18,Stockout,Current
93,2025-02-24,80,6,69,46,23,52,23,Low Stock,Current
94,2025-12-27,5,3,34,14,20,74,10,Low Stock,Current
95,2024-02-04,68,3,223,34,189,40,5,Healthy,Current
96,2025-08-19,48,3,176,7,169,109,22,Healthy,Current
97,2025-09-19,12,1,69,45,24,115,7,Low Stock,Future
98,2024-04-29,70,4,254,49,205,46,6,Healthy,Future
99,2025-12-03,93,6,76,53,23,77,17,Low Stock,Current
100,2025-12-13,102,1,97,28,69,88,50,Low Stock,Current
101,2025-11-26,47,5,204,44,160,109,22,Healthy,Current
102,2024-08-29,111,6,301,5,296,102,41,Healthy,Future
103,2024-12-04,56,6,215,20,195,116,30,Healthy,Future
104,2024-01-02,104,1,259,41,218,128,30,Healthy,Future
105,2025-06-14,52,1,135,50,85,105,49,Low Stock,Current
106,2025-10-18,99,6,338,31,307,48,29,Healthy,Future
107,2024-10-11,49,6,101,17,84,125,18,Low Stock,Future
108,2024-12-02,106,6,165,63,102,96,3,Healthy,Future
109,2024-10-20,80,1,242,76,166,59,18,Healthy,Current
110,2025-10-03,75,3,249,48,201,68,27,Healthy,Future
111,2025-12-16,40,3,68,40,28,128,6,Low Stock,Current
112,2025-05-20,56,3,76,71,5,106,15,Low Stock,Current
113,2025-06-06,10,6,97,89,8,57,19,Low Stock,Future
114,2025-05-20,81,5,122,15,107,64,15,Healthy,Current
115,2025-05-11,64,6,179,55,124,56,2,Healthy,Current
116,2024-04-01,98,6,259,26,233,123,34,Healthy,Current
117,2024-05-16,14,1,23,89,0,50,7,Stockout,Current
118,2025-10-18,38,1,89,8,81,84,24,Low Stock,Current
119,2025-05-13,52,2,59,58,1,60,40,Low Stock,Current
120,2024-07-17,11,4,137,50,87,103,21,Low Stock,Future
121,2025-07-07,77,3,241,55,186,46,31,Healthy,Future
122,2024-06-23,83,6,79,68,11,67,39,Low Stock,Future
123,2025-08-14,59,3,108,14,94,139,9,Low Stock,Current
124,2025-06-17,35,6,58,50,8,97,11,Low Stock,Current
125,2024-11-30,64,4,157,34,123,115,14,Healthy,Future
126,2024-11-29,19,3,177,71,106,61,19,Healthy,Future
127,2024-07-11,1,5,194,35,159,72,13,Healthy,Future
128,2024-04-04,32,6,117,73,44,104,38,Low Stock,Current
129,2025-05-08,34,4,94,38,56,89,42,Low Stock,Current
130,2024-04-29,112,5,34,24,10,92,28,Low Stock,Current
131,2024-11-29,53,1,336,80,256,53,9,Healthy,Future
132,2024-01-20,79,5,96,69,27,69,27,Low Stock,Current
133,2025-08-25,17,6,86,66,20,88,27,Low Stock,Current
134,2025-05-21,14,3,318,68,250,109,3,Healthy,Future
135,2025-01-21,60,3,158,43,115,113,4,Healthy,Future
136,2024-05-07,119,3,78,33,45,43,11,Healthy,Current
137,2024-05-02,4,6,321,70,251,101,49,Healthy,Future
138,2025-01-07,94,4,307,47,260,85,24,Healthy,Future
139,2025-05-15,75,2,80,53,27,131,47,Low Stock,Current
140,2024-12-05,26,6,5,51,0,124,7,Stockout,Current
141,2025-08-08,34,1,178,38,140,106,30,Healthy,Future
142,2024-01-29,110,1,291,72,219,78,4,Healthy,Future
143,2024-08-08,32,6,238,90,148,80,16,Healthy,Future
144,2024-01-20,44,1,117,47,70,69,27,Healthy,Current
145,2025-12-15,18,3,113,10,103,99,46,Healthy,Future
146,2025-04-18,116,5,108,86,22,110,5,Low Stock,Future
147,2024-06-28,24,5,161,3,158,120,21,Healthy,Future
148,2025-02-23,100,1,39,7,32,110,6,Low Stock,Current
149,2025-07-16,59,1,81,78,3,124,43,Low Stock,Current
150,2024-06-18,11,4,170,40,130,61,3,Healthy,Future
151,2024-07-13,63,4,18,78,0,46,39,Stockout,Current
152,2024-01-11,120,6,188,16,172,78,20,Healthy,Future
153,2024-09-21,55,6,180,32,148,69,20,Healthy,Current
154,2024-01-03,21,5,219,38,181,108,20,Healthy,Future
155,2024-03-01,15,4,322,71,251,74,38,Healthy,Future
156,2024-02-15,45,6,128,32,96,117,6,Low Stock,Current
157,2024-06-03,22,6,54,30,24,93,43,Low Stock,Current
158,2025-01-28,60,6,35,65,0,41,48,Stockout,Current
159,2024-04-03,69,6,250,38,212,101,8,Healthy,Future
160,2025-07-12,32,1,98,17,81,63,14,Healthy,Future
161,2025-07-13,54,6,61,70,0,121,12,Stockout,Current
162,2025-10-08,101,2,59,63,0,137,14,Stockout,Future
163,2025-11-08,86,1,179,60,119,48,29,Healthy,Current
164,2024-05-22,14,6,343,14,329,106,12,Healthy,Future
165,2025-02-10,23,5,122,1,121,63,14,Healthy,Current
166,2024-05-11,69,1,144,80,64,97,25,Low Stock,Future
167,2024-01-07,85,3,339,77,262,63,1,Healthy,Future
168,2025-05-05,81,6,343,54,289,132,24,Healthy,Future
169,2024-03-18,35,6,78,59,19,66,5,Low Stock,Current
170,2025-09-25,42,5,97,54,43,58,44,Low Stock,Future
171,2025-06-19,13,6,93,88,5,100,11,Low Stock,Current
172,2024-06-22,25,3,203,48,155,68,41,Healthy,Current
173,2024-10-22,104,6,27,22,5,92,45,Low Stock,Current
174,2025-03-31,16,6,118,38,80,107,46,Low Stock,Current
175,2025-04-01,31,4,117,58,59,45,46,Healthy,Current
176,2025-04-12,30,5,40,56,0,120,25,Stockout,Future
177,2024-04-28,102,1,166,78,88,75,31,Healthy,Current
178,2024-06-23,91,4,38,85,0,76,6,Stockout,Current
179,2024-01-05,112,6,69,40,29,134,7,Low Stock,Future
180,2024-08-07,9,4,152,8,144,103,37,Healthy,Current
181,2025-06-24,115,2,156,81,75,98,23,Low Stock,Future
182,2025-04-09,53,6,60,63,0,73,46,Stockout,Current
183,2025-06-30,53,4,123,70,53,97,11,Low Stock,Current
184,2024-01-16,53,4,59,14,45,117,18,Low Stock,Current
185,2024-08-22,17,1,150,74,76,85,6,Low Stock,Current
186,2025-07-20,23,2,188,57,131,135,27,Low Stock,Future
187,2025-12-26,93,1,74,60,14,107,21,Low Stock,Future
188,2024-04-27,100,6,226,40,186,42,41,Healthy,Future
189,2025-03-01,85,5,344,46,298,131,25,Healthy,Future
190,2025-01-10,45,6,342,64,278,48,50,Healthy,Future
191,2025-11-15,19,6,256,75,181,84,2,Healthy,Future
192,2025-03-19,80,1,14,43,0,50,2,Stockout,Current
193,2024-09-02,6,4,343,77,266,135,28,Healthy,Future
194,2024-11-04,35,1,322,2,320,125,2,Healthy,Future
195,2025-02-19,79,1,116,79,37,133,16,Low Stock,Current
196,2024-05-06,114,6,29,29,0,108,3,Stockout,Current
197,2025-01-09,13,6,215,83,132,57,40,Healthy,Current
198,2025-10-10,99,1,151,29,122,104,2,Healthy,Current
199,2025-07-30,32,2,60,20,40,47,11,Low Stock,Future
200,2025-07-20,78,4,199,63,136,79,24,Healthy,Current
201,2024-11-17,60,4,100,79,21,98,37,Low Stock,Future
202,2024-05-06,109,6,221,44,177,114,46,Healthy,Current
203,2025-06-22,44,2,32,75,0,60,32,Stockout,Current
204,2024-08-14,62,5,53,8,45,74,42,Low Stock,Current
205,2025-11-11,56,5,214,28,186,125,23,Healthy,Current
206,2025-03-23,103,1,333,59,274,42,44,Healthy,Future
207,2024-01-10,91,6,179,40,139,105,21,Healthy,Current
208,2025-10-11,66,6,105,87,18,77,21,Low Stock,Current
209,2025-09-04,106,4,254,76,178,118,44,Healthy,Future
210,2024-05-19,84,6,107,62,45,85,31,Low Stock,Future
211,2024-10-27,5,6,48,89,0,45,37,Stockout,Current
212,2024-12-04,64,4,316,47,269,62,16,Healthy,Future
213,2025-09-13,93,6,254,65,189,112,21,Healthy,Current
214,2025-10-17,18,6,101,62,39,70,23,Low Stock,Current
215,2024-04-14,83,1,178,31,147,60,6,Healthy,Current
216,2025-12-27,59,1,70,16,54,62,19,Low Stock,Current
217,2024-11-08,5,1,170,52,118,70,7,Healthy,Future
218,2025-12-19,110,1,20,19,1,132,9,Low Stock,Current
219,2024-12-17,74,6,161,68,93,98,7,Low Stock,Future
220,2025-05-21,48,6,97,33,64,43,20,Healthy,Future
221,2024-03-16,96,1,82,58,24,47,48,Low Stock,Current
222,2024-09-13,84,4,189,55,134,67,44,Healthy,Current
223,2025-02-06,101,6,40,34,6,95,20,Low Stock,Current
224,2024-11-26,63,5,166,70,96,71,9,Healthy,Future
225,2024-06-20,79,6,94,32,62,64,46,Low Stock,Future
226,2024-03-10,36,6,247,25,222,113,17,Healthy,Future
227,2025-08-18,106,6,254,35,219,108,44,Healthy,Future
228,2025-12-15,12,6,113,37,76,116,38,Low Stock,Current
229,2025-02-13,76,1,207,39,168,73,14,Healthy,Future
230,2025-10-28,35,5,218,76,142,92,25,Healthy,Future
231,2025-07-18,65,2,165,85,80,49,26,Healthy,Current
232,2024-11-15,2,6,243,10,233,53,46,Healthy,Current
233,2024-09-01,105,6,112,29,83,42,14,Healthy,Current
234,2025-12-20,60,5,79,49,30,45,45,Low Stock,Current
235,2024-07-24,49,3,295,47,248,45,44,Healthy,Future
236,2025-09-22,80,2,334,1,333,116,18,Healthy,Future
237,2025-02-22,31,2,238,62,176,85,16,Healthy,Current
238,2024-09-02,39,3,308,67,241,67,27,Healthy,Future
239,2024-09-14,109,6,8,6,2,140,35,Low Stock,Current
240,2025-12-16,72,1,229,1,228,92,39,Healthy,Future
241,2025-02-23,86,4,73,87,0,99,38,Stockout,Current
242,2025-03-05,103,4,133,3,130,121,2,Healthy,Future
243,2024-01-13,65,4,45,39,6,94,35,Low Stock,Current
244,2024-03-16,36,6,343,9,334,61,35,Healthy,Future
245,2025-06-06,13,6,64,79,0,130,30,Stockout,Current
246,2025-07-05,22,1,167,3,164,117,16,Healthy,Current
247,2024-03-18,2,2,212,76,136,88,26,Healthy,Current
248,2025-08-05,67,2,204,47,157,105,5,Healthy,Future
249,2024-05-01,5,1,24,90,0,101,47,Stockout,Current
250,2025-05-06,107,6,60,65,0,108,30,Stockout,Current
251,2024-05-02,71,6,19,88,0,105,9,Stockout,Current
252,2024-04-24,70,2,157,84,73,66,41,Healthy,Current
253,2025-07-20,97,4,254,55,199,76,38,Healthy,Current
254,2025-06-22,47,2,176,42,134,51,45,Healthy,Future
255,2024-03-19,97,1,307,36,271,46,40,Healthy,Future
256,2025-12-26,4,2,214,10,204,132,36,Healthy,Future
257,2024-09-04,107,6,143,87,56,132,0,Low Stock,Future
258,2024-12-18,39,6,246,70,176,127,15,Healthy,Current
259,2025-07-24,71,3,121,48,73,127,18,Low Stock,Current
260,2024-01-25,65,5,326,13,313,69,50,Healthy,Future
261,2024-02-12,116,2,157,61,96,56,5,Healthy,Future
262,2025-11-04,9,3,118,72,46,49,32,Low Stock,Future
263,2025-07-13,103,6,205,14,191,49,32,Healthy,Current
264,2025-11-26,107,6,12,82,0,50,39,Stockout,Current
265,2025-08-11,54,6,246,79,167,56,12,Healthy,Future
266,2025-06-21,108,2,187,34,153,121,43,Healthy,Future
267,2024-08-22,86,3,93,52,41,121,2,Low Stock,Current
268,2024-11-18,48,5,126,76,50,101,29,Low Stock,Future
269,2024-12-14,32,6,54,14,40,73,33,Low Stock,Current
270,2025-07-06,23,2,177,49,128,122,39,Healthy,Current
271,2024-07-02,12,5,170,78,92,124,34,Low Stock,Current
272,2024-12-02,72,4,114,3,111,64,36,Healthy,Current
273,2025-10-01,44,3,197,24,173,99,18,Healthy,Current
274,2025-09-22,59,6,335,53,282,116,13,Healthy,Future
275,2024-05-14,97,2,190,81,109,121,35,Low Stock,Current
276,2025-04-12,39,3,238,78,160,122,19,Healthy,Future
277,2025-10-26,62,6,223,2,221,121,2,Healthy,Current
278,2025-04-28,58,1,328,67,261,100,37,Healthy,Future
279,2024-04-30,110,6,160,82,78,140,36,Low Stock,Current
280,2024-03-25,113,5,263,47,216,57,19,Healthy,Future
281,2025-09-21,23,6,85,2,83,46,3,Healthy,Future
282,2024-02-04,50,4,226,45,181,98,7,Healthy,Current
283,2024-10-16,2,6,105,62,43,66,11,Low Stock,Future
284,2025-09-11,86,1,37,33,4,109,14,Low Stock,Current
285,2024-04-15,113,3,204,60,144,66,30,Healthy,Current
286,2024-11-20,30,5,261,4,257,101,9,Healthy,Future
287,2025-06-02,118,4,78,84,0,125,25,Stockout,Current
288,2024-07-07,78,6,67,7,60,48,26,Healthy,Current
289,2024-04-29,98,1,64,39,25,117,15,Low Stock,Current
290,2025-11-29,119,6,239,24,215,136,0,Healthy,Future
291,2025-12-10,27,6,87,5,82,78,28,Healthy,Current
292,2024-11-07,92,4,346,85,261,115,25,Healthy,Future
293,2025-01-04,41,6,213,50,163,131,49,Healthy,Future
294,2024-06-14,32,2,8,79,0,44,8,Stockout,Current
295,2024-04-29,82,1,73,79,0,66,22,Stockout,Current
296,2025-07-01,4,1,343,28,315,97,5,Healthy,Future
297,2025-05-18,13,6,191,59,132,100,24,Healthy,Current
298,2025-02-20,42,2,91,77,14,64,47,Low Stock,Future
299,2025-06-16,107,6,99,69,30,96,3,Low Stock,Current
300,2024-04-28,19,4,188,24,164,51,16,Healthy,Future
301,2024-10-29,1,2,64,70,0,73,5,Stockout,Future
302,2024-03-05,1,4,316,76,240,79,16,Healthy,Future
303,2025-05-31,39,5,53,78,0,126,32,Stockout,Future
304,2024-10-31,41,1,0,62,0,127,6,Stockout,Current
305,2024-11-22,37,6,156,33,123,102,38,Healthy,Future
306,2025-03-18,35,2,23,0,23,116,33,Low Stock,Current
307,2024-12-30,16,6,116,75,41,93,43,Low Stock,Current
308,2024-08-25,49,6,23,67,0,128,40,Stockout,Current
309,2024-05-10,3,1,119,10,109,104,40,Healthy,Current
310,2025-03-20,26,6,174,15,159,51,28,Healthy,Current
311,2025-04-06,10,1,142,54,88,112,24,Low Stock,Future
312,2024-05-04,9,2,301,7,294,126,12,Healthy,Future
313,2025-04-12,13,4,208,19,189,108,15,Healthy,Current
314,2025-05-01,82,1,202,9,193,138,36,Healthy,Future
315,2025-03-31,13,6,68,80,0,73,42,Stockout,Current
316,2025-03-30,67,6,253,70,183,52,10,Healthy,Current
317,2024-10-20,87,2,48,87,0,105,29,Stockout,Current
318,2025-07-05,97,6,319,85,234,78,33,Healthy,Future
319,2025-04-22,4,6,215,37,178,43,41,Healthy,Future
320,2024-03-21,64,3,90,78,12,48,3,Low Stock,Future
321,2025-06-20,88,4,195,10,185,77,14,Healthy,Future
322,2024-07-24,105,6,252,23,229,89,16,Healthy,Future
323,2024-05-31,11,5,258,16,242,103,23,Healthy,Current
324,2025-06-03,32,1,90,46,44,82,16,Low Stock,Current
325,2024-02-24,57,3,74,40,34,79,42,Low Stock,Current
326,2025-01-17,15,6,225,7,218,70,14,Healthy,Current
327,2024-11-02,120,3,315,88,227,118,9,Healthy,Future
328,2025-04-23,15,4,189,73,116,84,20,Healthy,Future
329,2025-04-19,74,1,327,77,250,71,29,Healthy,Future
330,2025-12-18,101,2,21,87,0,67,42,Stockout,Current
331,2025-04-13,72,4,106,81,25,79,12,Low Stock,Current
332,2025-05-31,16,6,125,80,45,41,10,Healthy,Current
333,2024-09-03,2,3,85,15,70,66,41,Healthy,Current
334,2025-04-29,6,6,133,89,44,122,43,Low Stock,Current
335,2024-04-28,86,2,66,85,0,45,14,Stockout,Future
336,2025-01-10,119,6,162,44,118,68,4,Healthy,Current
337,2025-04-24,32,1,171,49,122,121,35,Healthy,Current
338,2024-11-05,22,6,84,4,80,72,43,Healthy,Current
339,2024-02-01,112,6,78,71,7,54,4,Low Stock,Future
340,2024-05-07,48,6,20,85,0,128,1,Stockout,Current
341,2024-03-31,101,6,175,33,142,111,5,Healthy,Current
342,2025-03-01,45,2,151,68,83,56,35,Healthy,Current
343,2024-03-11,62,1,258,73,185,93,22,Healthy,Current
344,2025-01-05,7,3,96,34,62,67,40,Low Stock,Current
345,2025-07-04,39,1,110,6,104,64,29,Healthy,Future
346,2024-05-06,39,1,182,21,161,51,21,Healthy,Current
347,2024-09-26,62,6,101,75,26,104,39,Low Stock,Future
348,2024-08-16,102,5,136,32,104,68,18,Healthy,Future
349,2024-11-11,111,6,222,84,138,67,1,Healthy,Future
350,2025-12-14,31,3,226,13,213,113,0,Healthy,Future
351,2024-01-15,59,6,158,11,147,70,31,Healthy,Future
352,2025-04-03,57,4,348,10,338,96,27,Healthy,Future
353,2025-08-07,11,5,112,52,60,44,4,Healthy,Current
354,2025-08-13,76,5,109,47,62,138,22,Low Stock,Current
355,2024-08-05,87,3,117,76,41,137,28,Low Stock,Future
356,2025-03-21,61,1,131,68,63,78,45,Low Stock,Current
357,2024-09-06,50,6,87,23,64,112,33,Low Stock,Current
358,2025-03-23,81,4,96,62,34,69,0,Low Stock,Future
359,2025-11-14,78,5,119,11,108,107,13,Healthy,Current
360,2025-02-11,120,6,160,90,70,84,27,Low Stock,Current
361,2024-02-17,101,6,123,51,72,52,39,Healthy,Current
362,2025-04-25,70,6,344,24,320,65,38,Healthy,Future
363,2025-03-28,34,3,61,81,0,55,7,Stockout,Future
364,2024-09-19,39,6,105,84,21,132,4,Low Stock,Current
365,2024-04-08,113,1,0,12,0,136,12,Stockout,Current
366,2024-11-25,78,4,279,75,204,47,19,Healthy,Future
367,2025-12-27,68,6,166,57,109,64,30,Healthy,Future
368,2025-12-22,71,5,148,82,66,46,32,Healthy,Current
369,2025-10-06,85,3,177,37,140,120,45,Healthy,Current
370,2025-09-08,8,6,114,36,78,122,37,Low Stock,Current
371,2024-04-18,104,2,127,6,121,138,6,Low Stock,Current
372,2024-09-07,21,5,194,31,163,87,10,Healthy,Current
373,2024-04-23,66,4,137,77,60,94,8,Low Stock,Current
374,2024-05-06,32,5,270,75,195,62,35,Healthy,Future
375,2025-06-15,67,6,67,78,0,91,34,Stockout,Current
376,2024-12-04,5,6,258,14,244,133,48,Healthy,Future
377,2025-07-22,77,6,301,81,220,109,48,Healthy,Future
378,2024-02-20,100,2,250,60,190,98,14,Healthy,Future
379,2024-09-30,33,6,231,40,191,113,31,Healthy,Current
380,2025-05-08,37,6,49,76,0,135,36,Stockout,Current
381,2025-05-01,39,1,212,89,123,73,36,Healthy,Future
382,2025-04-19,93,6,50,83,0,127,30,Stockout,Future
383,2024-08-28,31,6,126,52,74,120,1,Low Stock,Future
384,2025-03-01,81,2,249,4,245,52,42,Healthy,Current
385,2025-07-18,92,1,120,55,65,108,24,Low Stock,Current
386,2024-09-05,11,2,116,81,35,101,14,Low Stock,Current
387,2025-10-18,44,6,332,4,328,43,29,Healthy,Future
388,2025-09-25,43,4,35,0,35,108,17,Low Stock,Current
389,2025-11-08,85,1,61,19,42,122,17,Low Stock,Current
390,2024-01-28,47,6,127,54,73,82,43,Low Stock,Current
391,2025-08-12,53,6,120,86,34,64,36,Low Stock,Current
392,2024-11-07,13,2,135,55,80,101,28,Low Stock,Current
393,2024-06-12,69,3,44,53,0,78,30,Stockout,Current
394,2025-05-31,16,6,159,25,134,74,42,Healthy,Current
395,2024-05-18,44,3,125,74,51,133,29,Low Stock,Current
396,2025-10-22,110,6,239,63,176,53,3,Healthy,Current
397,2025-08-07,18,6,105,55,50,128,16,Low Stock,Current
398,2025-01-26,76,2,96,16,80,130,13,Low Stock,Future
399,2025-09-30,86,2,64,39,25,109,4,Low Stock,Future
400,2025-08-22,14,6,176,34,142,140,27,Healthy,Current
401,2024-10-21,104,6,90,20,70,45,29,Healthy,Future
402,2024-12-26,30,6,182,9,173,52,1,Healthy,Current
403,2025-03-28,33,6,40,27,13,121,29,Low Stock,Current
404,2024-12-20,54,4,162,70,92,108,34,Low Stock,Future
405,2025-08-15,48,4,174,11,163,66,12,Healthy,Future
406,2024-07-20,36,3,8,33,0,115,49,Stockout,Current
407,2024-07-16,15,5,116,14,102,128,1,Low Stock,Future
408,2024-02-29,81,1,6,60,0,92,34,Stockout,Current
409,2024-01-05,76,6,75,9,66,85,29,Low Stock,Current
410,2025-04-10,44,5,185,25,160,67,31,Healthy,Future
411,2025-12-10,20,6,57,15,42,115,45,Low Stock,Current
412,2024-04-13,14,1,24,41,0,52,3,Stockout,Current
413,2024-11-15,68,2,123,25,98,130,48,Low Stock,Current
414,2025-04-03,66,4,18,15,3,127,24,Low Stock,Current
415,2025-12-16,84,6,20,89,0,83,37,Stockout,Current
416,2024-02-17,85,4,107,77,30,124,15,Low Stock,Future
417,2024-04-17,42,4,192,7,185,112,47,Healthy,Future
418,2024-12-18,95,6,163,57,106,50,32,Healthy,Future
419,2025-01-08,54,2,272,39,233,51,42,Healthy,Future
420,2024-10-28,94,6,45,18,27,62,28,Low Stock,Future
421,2025-11-10,2,2,264,17,247,83,8,Healthy,Future
422,2025-11-13,5,5,131,4,127,56,49,Healthy,Current
423,2024-07-17,25,6,91,46,45,118,50,Low Stock,Current
424,2025-09-13,27,6,330,47,283,53,35,Healthy,Future
425,2025-10-18,5,6,177,1,176,134,38,Healthy,Future
426,2024-04-18,34,6,293,80,213,61,47,Healthy,Future
427,2024-02-20,58,5,62,66,0,134,11,Stockout,Current
428,2024-01-24,62,3,127,35,92,95,30,Low Stock,Current
429,2025-01-25,74,1,25,15,10,63,23,Low Stock,Current
430,2025-12-26,108,1,66,31,35,113,34,Low Stock,Current
431,2024-04-01,25,1,262,77,185,47,30,Healthy,Future
432,2024-02-29,101,6,95,20,75,113,40,Low Stock,Current
433,2024-04-03,90,6,72,55,17,51,22,Low Stock,Current
434,2024-10-23,33,3,235,11,224,101,35,Healthy,Current
435,2025-03-04,31,6,140,38,102,97,33,Healthy,Future
436,2025-06-07,119,1,76,49,27,65,21,Low Stock,Current
437,2024-04-03,35,3,123,20,103,112,39,Low Stock,Current
438,2024-01-19,107,1,32,80,0,109,26,Stockout,Current
439,2024-05-18,5,3,198,36,162,117,12,Healthy,Current
440,2025-07-06,113,6,269,38,231,87,34,Healthy,Future
441,2025-04-10,95,6,103,53,50,128,28,Low Stock,Future
442,2024-04-04,50,4,314,10,304,79,35,Healthy,Future
