return_id,order_id,customer_id,product_id,return_date,return_reason,refund_amount,replacement_requested,scenario_phase
88,785,966,79,2025-10-05,Size Issue,137.45,Yes,Current
89,9657,915,62,2025-02-23,Damaged Product,126.46,Yes,Current
90,2168,117,117,2025-12-25,Size Issue,103.96,Yes,Current
91,1621,901,84,2024-05-14,Changed Mind,100.89,No,Current
92,8836,339,55,2025-10-04,Size Issue,62.28,No,Future
93,1755,560,106,2025-11-26,Damaged Product,27.79,Yes,Current
94,11082,721,33,2025-12-01,Size Issue,166.47,No,Future
95,5212,710,22,2025-12-25,Changed Mind,87.99,Yes,Future
96,10342,949,106,2025-08-10,Damaged Product,24.41,No,Current
97,3432,693,52,2025-08-25,Damaged Product,20.0,Yes,Future
98,11062,829,100,2025-12-11,Damaged Product,65.46,Yes,Current
99,4704,55,52,2025-08-01,Changed Mind,20.0,Yes,Future
100,10644,646,43,2025-09-22,Changed Mind,126.78,No,Current
101,599,428,36,2025-12-30,Delivery Delay,132.38,No,Future
102,11381,420,51,2025-12-26,Size Issue,95.96,No,Future
103,5943,228,31,2025-12-11,Changed Mind,64.46,No,Current
104,3787,28,41,2025-11-20,Size Issue,102.05,No,Current
105,3450,481,9,2025-12-29,Delivery Delay,95.91,Yes,Current
106,2823,214,29,2025-06-14,Wrong Item,122.47,No,Current
107,1017,475,110,2025-12-20,Damaged Product,149.81,No,Current
108,6941,67,30,2025-12-22,Damaged Product,26.83,No,Future
109,3792,714,76,2025-08-22,Wrong Item,101.94,Yes,Future
110,8526,824,27,2025-04-07,Wrong Item,123.45,Yes,Current
111,3243,854,58,2024-12-18,Changed Mind,83.98,No,Current
112,9283,491,57,2024-04-29,Changed Mind,127.41,Yes,Future
113,11874,902,13,2025-10-01,Changed Mind,100.29,No,Future
114,10635,745,82,2025-03-20,Delivery Delay,121.65,No,Current
115,7319,526,29,2025-01-19,Delivery Delay,107.09,Yes,Current
116,7236,336,52,2025-11-08,Damaged Product,20.0,Yes,Current
117,6882,735,14,2025-09-28,Wrong Item,74.95,No,Current
118,9536,298,48,2025-12-12,Size Issue,85.31,No,Current
119,2966,457,4,2025-05-19,Delivery Delay,137.53,No,Current
120,7452,968,2,2025-10-24,Wrong Item,148.53,No,Future
121,11292,493,14,2025-12-14,Changed Mind,79.51,Yes,Future
122,3885,543,79,2025-11-04,Size Issue,151.55,No,Future
123,9218,129,18,2025-06-06,Damaged Product,45.51,Yes,Current
124,7465,308,32,2025-12-11,Size Issue,159.49,No,Current
125,6973,94,76,2025-07-11,Damaged Product,112.38,No,Current
126,9007,553,21,2024-08-15,Changed Mind,36.57,Yes,Future
127,3280,24,37,2025-04-18,Size Issue,126.57,No,Future
128,8961,31,45,2025-06-11,Size Issue,25.28,Yes,Current
129,1287,401,102,2025-11-22,Damaged Product,50.15,Yes,Current
130,8325,904,83,2024-05-17,Damaged Product,58.09,Yes,Current
131,8815,595,43,2024-12-26,Changed Mind,99.92,Yes,Current
132,3798,105,35,2025-10-18,Delivery Delay,32.59,Yes,Current
133,88,121,80,2025-12-20,Size Issue,88.32,Yes,Future
134,9236,739,73,2025-03-30,Delivery Delay,20.0,No,Current
135,4065,146,48,2025-03-28,Delivery Delay,77.92,Yes,Current
136,235,950,115,2025-06-26,Size Issue,99.75,Yes,Future
137,9379,484,61,2025-02-06,Changed Mind,61.2,No,Future
138,11322,831,79,2025-08-14,Wrong Item,134.53,Yes,Current
139,7187,656,52,2025-10-11,Changed Mind,20.0,No,Future
140,4146,523,35,2024-08-12,Damaged Product,30.21,No,Future
141,1178,84,73,2024-10-09,Changed Mind,20.0,No,Current
142,10318,772,39,2024-08-15,Size Issue,118.65,Yes,Current
143,4639,444,76,2025-12-05,Changed Mind,107.02,No,Future
144,4510,572,41,2025-01-23,Damaged Product,95.02,Yes,Future
145,9596,189,7,2025-11-22,Wrong Item,151.62,Yes,Current
146,7563,254,52,2025-07-23,Delivery Delay,20.0,Yes,Current
147,11185,457,81,2025-06-30,Damaged Product,92.7,No,Future
148,8526,824,27,2025-06-12,Changed Mind,104.72,Yes,Current
149,2054,521,33,2025-11-04,Damaged Product,181.2,Yes,Current
150,9631,371,45,2025-04-19,Damaged Product,24.61,No,Current
151,6065,137,120,2025-12-24,Damaged Product,43.74,Yes,Future
152,9993,255,29,2025-12-09,Damaged Product,104.1,No,Current
153,1533,392,75,2025-08-14,Changed Mind,92.6,Yes,Current
154,5844,171,88,2025-12-09,Changed Mind,31.56,No,Future
155,11905,447,18,2025-02-20,Size Issue,49.1,Yes,Current
156,10700,958,112,2025-05-20,Changed Mind,145.34,No,Future
157,2590,344,67,2025-12-21,Delivery Delay,151.14,Yes,Current
158,10498,162,54,2025-09-15,Size Issue,82.25,Yes,Future
159,695,11,33,2024-05-14,Changed Mind,165.06,Yes,Current
160,4630,383,100,2025-08-04,Changed Mind,81.77,Yes,Future
161,7045,468,80,2025-08-02,Damaged Product,93.47,Yes,Current
162,874,147,90,2025-10-23,Wrong Item,80.3,No,Current
163,4833,110,13,2025-03-05,Wrong Item,90.68,No,Current
164,11430,321,56,2025-12-18,Size Issue,159.96,Yes,Future
165,10690,196,10,2025-12-26,Size Issue,69.62,No,Future
166,3270,208,11,2025-12-30,Size Issue,31.1,No,Future
167,8498,995,73,2025-06-22,Delivery Delay,20.0,Yes,Current
168,8048,20,51,2025-08-07,Damaged Product,94.98,No,Current
169,11834,52,24,2025-12-11,Delivery Delay,123.39,Yes,Future
170,6056,382,56,2025-01-26,Damaged Product,132.69,Yes,Current
171,2558,515,23,2025-05-19,Changed Mind,66.6,Yes,Current
172,1322,19,107,2025-08-03,Delivery Delay,42.13,Yes,Current
173,8457,284,63,2024-08-05,Damaged Product,41.79,Yes,Current
174,5381,361,6,2025-12-02,Damaged Product,108.6,Yes,Current
175,11782,898,52,2025-10-08,Damaged Product,20.0,No,Current
176,6147,529,73,2025-11-13,Size Issue,20.0,Yes,Current
177,6555,678,64,2025-12-05,Size Issue,90.66,Yes,Future
178,3312,994,3,2025-02-06,Damaged Product,154.44,No,Future
179,9070,779,77,2024-06-11,Size Issue,124.64,Yes,Future
180,11418,259,67,2025-11-29,Size Issue,162.03,No,Future
181,5165,317,34,2025-12-30,Delivery Delay,93.27,Yes,Current
182,11621,452,2,2025-06-01,Damaged Product,198.96,Yes,Current
183,11502,179,50,2025-01-08,Size Issue,77.83,No,Future
184,8124,229,56,2025-12-21,Wrong Item,132.57,No,Current
185,787,288,103,2025-07-15,Size Issue,111.24,Yes,Current
186,2322,62,54,2025-10-26,Size Issue,103.35,No,Current
187,4591,965,57,2025-07-12,Wrong Item,132.83,Yes,Current
188,5307,651,4,2025-12-15,Wrong Item,110.43,No,Current
189,685,124,97,2025-09-06,Delivery Delay,50.3,No,Future
190,7160,700,63,2025-09-22,Changed Mind,42.97,No,Future
191,11803,983,20,2025-08-25,Damaged Product,73.65,No,Future
192,11198,475,56,2024-01-29,Delivery Delay,135.04,Yes,Current
193,3946,567,50,2024-07-23,Changed Mind,85.31,Yes,Current
194,2872,3,7,2025-03-27,Changed Mind,158.72,Yes,Future
195,5659,213,98,2025-10-19,Damaged Product,177.85,No,Future
196,5195,752,86,2025-12-19,Size Issue,84.27,Yes,Future
197,6583,581,101,2025-11-05,Damaged Product,108.44,No,Current
198,6312,472,22,2025-07-06,Size Issue,114.67,No,Current
199,11438,682,70,2025-04-26,Wrong Item,107.32,Yes,Current
200,5018,381,38,2025-08-27,Delivery Delay,87.56,No,Current
201,7730,46,82,2025-09-01,Changed Mind,102.55,Yes,Future
202,3403,314,66,2025-12-15,Damaged Product,97.03,Yes,Current
203,1596,910,56,2024-11-14,Size Issue,153.78,Yes,Current
204,1940,391,67,2025-07-25,Size Issue,210.0,Yes,Future
205,2570,727,79,2025-12-04,Size Issue,136.26,Yes,Current
206,7504,24,52,2025-11-17,Damaged Product,20.0,No,Current
207,9751,65,94,2024-11-19,Changed Mind,45.34,No,Future
208,5103,321,88,2025-05-20,Changed Mind,31.75,Yes,Future
209,6592,237,54,2025-07-23,Size Issue,80.26,No,Future
210,2838,826,29,2025-10-01,Damaged Product,100.06,Yes,Current
211,4700,881,13,2025-11-22,Size Issue,90.53,No,Future
212,4800,617,22,2024-04-27,Size Issue,98.92,No,Future
213,4287,137,18,2025-09-03,Size Issue,37.59,No,Future
214,3099,135,34,2025-12-23,Delivery Delay,102.95,Yes,Current
215,5024,531,89,2024-10-17,Changed Mind,107.42,No,Current
216,100,762,51,2024-08-17,Damaged Product,85.36,No,Current
217,11110,184,52,2025-02-25,Changed Mind,20.0,No,Future
218,9932,892,94,2025-04-15,Delivery Delay,46.29,Yes,Current
219,4581,224,19,2025-10-28,Size Issue,117.95,Yes,Future
220,3053,920,100,2024-09-20,Delivery Delay,64.79,No,Current
221,2593,775,58,2025-08-03,Delivery Delay,114.93,Yes,Current
222,4663,902,32,2025-06-18,Damaged Product,167.54,Yes,Future
223,708,8,1,2025-08-11,Wrong Item,110.65,Yes,Current
224,4374,593,102,2024-05-27,Damaged Product,48.1,Yes,Current
225,3244,70,45,2025-11-20,Size Issue,23.91,No,Current
226,8504,844,15,2025-09-02,Damaged Product,58.87,Yes,Current
227,10900,538,42,2025-08-17,Delivery Delay,60.08,Yes,Current
228,9517,848,59,2025-04-03,Delivery Delay,80.84,Yes,Current
229,1042,233,68,2025-12-12,Changed Mind,65.59,Yes,Future
230,1566,587,57,2025-10-05,Delivery Delay,121.68,No,Future
231,168,479,5,2025-11-29,Wrong Item,99.38,Yes,Current
232,3046,684,58,2024-10-19,Wrong Item,91.91,No,Current
233,2994,717,55,2025-09-29,Changed Mind,58.27,No,Current
234,3461,441,118,2025-03-23,Damaged Product,138.81,No,Current
235,7470,580,59,2025-04-09,Wrong Item,78.76,Yes,Current
236,11524,562,26,2025-11-20,Changed Mind,105.57,Yes,Current
237,6073,915,63,2024-07-19,Delivery Delay,48.5,No,Current
238,2441,733,100,2025-11-20,Changed Mind,77.15,No,Future
239,3455,93,24,2024-04-14,Wrong Item,146.81,Yes,Current
240,712,171,56,2025-08-05,Delivery Delay,154.68,Yes,Current
241,5289,132,24,2025-04-22,Damaged Product,109.2,No,Future
242,11652,824,52,2025-09-02,Size Issue,20.0,Yes,Future
243,2770,859,89,2025-05-16,Delivery Delay,131.35,Yes,Current
244,5727,154,89,2025-10-12,Changed Mind,113.68,Yes,Current
245,6302,766,86,2024-12-05,Size Issue,93.55,Yes,Current
246,119,284,90,2025-07-08,Delivery Delay,75.94,Yes,Current
247,11417,913,83,2025-12-27,Damaged Product,57.0,No,Future
248,8480,125,70,2025-06-06,Delivery Delay,106.38,Yes,Current
249,5169,181,109,2025-05-07,Size Issue,46.7,No,Future
250,10051,880,72,2025-12-12,Size Issue,125.7,No,Future
251,11054,447,83,2025-10-07,Delivery Delay,73.25,No,Current
252,7269,974,9,2025-10-08,Wrong Item,98.03,Yes,Current
253,6008,435,67,2024-11-11,Changed Mind,207.29,Yes,Current
254,178,257,90,2025-06-01,Size Issue,57.88,No,Future
255,5208,976,68,2025-09-25,Delivery Delay,63.13,Yes,Current
256,9401,257,7,2025-12-12,Damaged Product,120.68,No,Current
257,4501,434,6,2025-12-27,Wrong Item,98.56,No,Current
258,11401,132,19,2025-12-30,Delivery Delay,117.45,No,Future
259,11208,546,7,2025-08-13,Delivery Delay,126.67,Yes,Current
260,4981,860,85,2025-09-12,Wrong Item,111.26,No,Current
261,5649,796,79,2024-11-14,Damaged Product,157.67,Yes,Current
262,4112,350,90,2025-12-21,Size Issue,65.82,No,Future
263,10699,820,87,2025-06-04,Damaged Product,80.49,Yes,Current
264,5352,904,8,2025-10-13,Size Issue,45.32,Yes,Future
265,11062,829,100,2025-11-29,Wrong Item,74.08,Yes,Current
266,5346,902,96,2024-05-16,Wrong Item,44.27,Yes,Current
267,2190,656,15,2025-07-03,Wrong Item,57.7,Yes,Current
268,2311,88,77,2025-03-18,Delivery Delay,102.05,Yes,Current
269,808,38,81,2025-07-15,Damaged Product,101.32,Yes,Future
270,4103,753,40,2025-05-25,Delivery Delay,28.89,Yes,Current
271,6254,542,110,2025-03-12,Damaged Product,143.32,Yes,Current
272,10277,673,12,2025-06-29,Wrong Item,169.92,No,Future
273,11285,928,66,2025-11-23,Changed Mind,92.94,No,Current
274,11929,580,18,2025-10-21,Delivery Delay,38.07,No,Current
275,950,541,58,2025-11-26,Wrong Item,100.37,Yes,Current
276,11002,840,57,2024-03-16,Wrong Item,124.06,No,Current
277,1210,575,30,2025-01-12,Changed Mind,25.81,Yes,Current
278,1789,883,22,2025-12-17,Delivery Delay,99.15,Yes,Current
279,9659,483,106,2025-11-26,Changed Mind,23.23,No,Current
280,4620,960,4,2025-10-15,Delivery Delay,138.07,Yes,Current
281,4691,155,76,2025-12-05,Delivery Delay,115.8,No,Current
282,4411,479,8,2025-09-17,Damaged Product,57.35,No,Current
283,3435,464,95,2025-12-05,Delivery Delay,141.3,Yes,Current
284,11304,959,56,2025-04-30,Delivery Delay,165.65,No,Current
285,3950,792,1,2024-11-09,Changed Mind,116.28,No,Current
286,11213,990,56,2025-12-30,Changed Mind,162.31,No,Current
287,493,867,69,2025-02-19,Changed Mind,79.26,No,Current
288,2621,394,74,2025-10-26,Changed Mind,95.46,No,Current
289,3215,732,94,2024-08-08,Size Issue,44.65,Yes,Future
290,7406,506,72,2025-07-12,Damaged Product,128.38,No,Current
291,2490,761,103,2025-09-26,Size Issue,94.26,Yes,Current
292,992,113,32,2025-06-05,Damaged Product,163.54,No,Current
293,885,423,55,2024-12-02,Size Issue,60.96,Yes,Current
294,4698,337,82,2024-04-17,Wrong Item,113.39,No,Current
295,2125,45,7,2025-09-02,Delivery Delay,143.15,Yes,Current
296,843,321,110,2024-08-07,Size Issue,147.42,No,Current
297,5877,605,62,2025-11-15,Damaged Product,132.93,No,Current
298,7640,376,41,2025-05-10,Size Issue,105.87,Yes,Current
299,693,947,76,2024-04-30,Damaged Product,105.55,Yes,Future
300,9327,959,14,2025-05-20,Damaged Product,70.47,Yes,Current
301,1531,865,95,2025-05-17,Damaged Product,125.51,No,Current
302,2223,832,63,2025-12-23,Changed Mind,48.79,Yes,Current
303,3318,495,93,2025-11-08,Delivery Delay,113.57,Yes,Future
304,351,265,20,2025-07-02,Delivery Delay,80.22,No,Current
305,6948,816,119,2025-04-17,Delivery Delay,20.0,Yes,Current
306,6572,79,54,2025-02-16,Delivery Delay,92.67,No,Current
307,3995,140,108,2025-12-30,Changed Mind,35.4,Yes,Future
308,3508,546,38,2025-10-16,Size Issue,80.42,No,Future
309,1634,461,120,2025-04-17,Wrong Item,37.06,Yes,Current
310,1481,607,52,2024-12-25,Damaged Product,20.0,Yes,Current
311,2679,131,25,2025-09-01,Damaged Product,26.27,Yes,Current
312,1016,783,120,2025-12-03,Size Issue,43.34,No,Future
313,1449,646,45,2025-12-30,Changed Mind,28.04,Yes,Future
314,1454,274,22,2025-09-05,Damaged Product,111.4,Yes,Current
315,3553,472,15,2024-08-14,Changed Mind,65.05,Yes,Current
316,1459,500,112,2025-10-11,Delivery Delay,119.26,Yes,Current
317,4895,661,104,2024-12-31,Damaged Product,145.01,Yes,Current
318,9487,785,79,2025-05-07,Changed Mind,174.71,No,Future
319,4267,530,24,2025-08-15,Delivery Delay,128.32,Yes,Future
320,9695,594,65,2025-02-05,Delivery Delay,57.73,No,Current
321,8303,322,84,2025-09-11,Damaged Product,93.74,Yes,Current
322,11160,410,74,2025-12-25,Damaged Product,99.51,Yes,Current
323,4785,264,104,2024-09-08,Changed Mind,144.41,Yes,Current
324,10427,424,92,2025-12-22,Damaged Product,38.67,No,Current
325,6838,597,120,2025-11-26,Delivery Delay,40.1,Yes,Current
326,7750,241,102,2024-05-27,Delivery Delay,64.39,Yes,Future
327,6660,546,9,2025-10-10,Changed Mind,79.8,Yes,Current
328,6037,519,1,2025-11-11,Wrong Item,109.56,No,Current
329,5962,825,108,2025-12-14,Wrong Item,46.72,No,Current
330,2283,548,66,2025-08-17,Size Issue,83.71,Yes,Current
331,3997,196,80,2025-02-24,Delivery Delay,96.74,No,Current
332,4400,681,114,2025-11-28,Changed Mind,62.67,No,Future
333,674,855,24,2025-11-29,Delivery Delay,135.1,No,Current
334,2971,29,56,2025-12-15,Damaged Product,120.1,No,Current
335,6516,888,111,2024-12-01,Damaged Product,107.0,No,Current
336,7169,944,27,2025-10-21,Size Issue,148.06,No,Current
337,2067,750,110,2025-07-21,Damaged Product,147.18,Yes,Current
338,6108,823,61,2025-08-25,Size Issue,62.94,No,Current
339,10657,607,89,2025-05-18,Wrong Item,138.09,Yes,Current
340,7685,545,35,2025-07-31,Damaged Product,36.62,No,Current
341,5100,879,98,2025-03-13,Delivery Delay,135.98,Yes,Current
342,8644,839,16,2025-01-04,Size Issue,98.51,No,Future
343,4612,144,89,2025-12-23,Delivery Delay,109.95,Yes,Current
344,8793,677,61,2024-11-03,Size Issue,60.76,Yes,Future
345,8997,755,117,2025-12-02,Delivery Delay,120.82,No,Current
346,4401,512,107,2025-07-02,Wrong Item,35.94,Yes,Current
347,3828,826,15,2025-10-19,Damaged Product,65.79,Yes,Current
348,5338,523,103,2025-07-16,Size Issue,98.51,No,Future
349,8327,478,117,2024-12-18,Size Issue,125.04,No,Current
350,9676,568,36,2025-11-24,Damaged Product,161.29,No,Current
351,10447,546,68,2025-12-13,Changed Mind,63.6,Yes,Future
352,7269,974,9,2025-09-22,Damaged Product,92.42,No,Current
353,5421,25,31,2024-03-18,Delivery Delay,49.61,Yes,Current
354,1855,620,108,2025-09-05,Damaged Product,43.47,No,Current
355,3960,974,81,2025-12-17,Size Issue,107.21,No,Future
356,1022,813,71,2025-09-10,Size Issue,128.76,No,Future
357,1263,396,114,2024-05-22,Changed Mind,72.63,No,Future
358,9757,925,62,2025-03-18,Wrong Item,131.59,No,Current
359,6350,7,88,2025-07-12,Wrong Item,36.89,Yes,Future
360,10412,356,23,2025-09-05,Delivery Delay,76.86,Yes,Current
361,477,673,107,2025-01-07,Damaged Product,38.16,Yes,Future
362,7100,442,46,2025-02-25,Delivery Delay,102.67,No,Current
363,8307,807,102,2025-05-29,Damaged Product,62.62,Yes,Current
364,646,653,5,2025-12-08,Size Issue,108.33,Yes,Current
365,3533,387,75,2024-06-30,Delivery Delay,97.31,No,Current
366,5303,115,29,2024-12-11,Delivery Delay,109.98,Yes,Current
367,1060,525,5,2025-10-28,Size Issue,103.06,No,Future
368,11847,427,41,2024-06-02,Changed Mind,101.8,Yes,Current
369,11922,400,3,2025-05-21,Changed Mind,140.77,Yes,Future
370,7244,990,99,2025-12-08,Size Issue,126.68,Yes,Future
371,10811,967,66,2025-11-25,Changed Mind,104.84,Yes,Current
372,3107,785,92,2025-04-23,Size Issue,43.02,Yes,Current
373,2078,692,47,2025-06-20,Changed Mind,134.59,Yes,Current
374,2040,157,104,2025-11-16,Delivery Delay,122.89,No,Future
375,2444,761,29,2025-05-06,Delivery Delay,127.12,No,Current
376,11782,898,52,2025-11-11,Delivery Delay,20.0,Yes,Current
377,3185,707,41,2025-12-08,Size Issue,82.87,Yes,Future
378,426,950,4,2024-11-19,Delivery Delay,104.5,Yes,Current
379,1522,458,88,2025-07-18,Wrong Item,40.77,Yes,Current
380,7633,782,79,2025-05-21,Size Issue,139.98,Yes,Future
381,7355,880,87,2025-12-08,Damaged Product,65.31,Yes,Current
382,1424,949,36,2024-10-20,Size Issue,151.6,Yes,Future
383,7489,671,48,2025-07-25,Size Issue,91.08,No,Future
384,7180,163,23,2025-09-10,Delivery Delay,66.6,Yes,Current
385,2462,47,44,2025-09-17,Damaged Product,81.35,Yes,Future
386,7047,883,78,2025-11-11,Delivery Delay,57.53,Yes,Current
387,219,538,119,2024-07-26,Size Issue,20.0,Yes,Future
388,10949,260,26,2025-08-30,Delivery Delay,102.14,Yes,Current
389,9043,897,114,2025-07-14,Delivery Delay,78.77,Yes,Current
390,4881,476,99,2025-09-04,Size Issue,149.85,Yes,Current
391,2659,151,116,2025-12-17,Size Issue,115.36,No,Current
392,7231,88,13,2025-05-26,Delivery Delay,102.51,Yes,Current
393,7924,438,114,2025-02-21,Wrong Item,68.2,Yes,Current
394,6806,336,22,2025-05-22,Damaged Product,109.83,No,Current
395,6336,52,64,2025-07-19,Damaged Product,80.82,Yes,Current
396,10852,78,99,2025-10-06,Wrong Item,168.81,Yes,Current
397,4933,859,8,2025-04-09,Delivery Delay,56.38,No,Current
398,9679,713,26,2025-07-31,Size Issue,92.27,No,Future
399,11039,357,62,2025-12-15,Delivery Delay,159.15,Yes,Future
400,2826,528,64,2025-10-28,Wrong Item,78.31,Yes,Current
401,1043,563,31,2025-12-27,Wrong Item,59.34,Yes,Current
402,5305,954,96,2025-11-14,Delivery Delay,44.09,Yes,Current
403,1601,877,10,2025-12-20,Size Issue,55.24,No,Current
404,6481,452,44,2024-03-02,Damaged Product,90.57,Yes,Future
405,6842,109,74,2025-11-11,Size Issue,84.41,Yes,Future
406,2834,744,59,2025-12-02,Delivery Delay,70.28,No,Future
407,10342,949,106,2025-12-20,Delivery Delay,21.0,Yes,Current
408,10161,58,95,2025-12-28,Changed Mind,139.14,No,Future
409,8988,625,2,2024-10-13,Wrong Item,188.49,Yes,Current
410,9449,740,33,2025-08-10,Wrong Item,212.49,No,Current
411,10206,163,111,2025-08-07,Delivery Delay,131.19,No,Current
412,3709,878,108,2025-11-09,Size Issue,42.33,Yes,Future
413,8266,743,116,2025-08-10,Size Issue,127.4,Yes,Current
414,1743,467,46,2025-12-26,Changed Mind,86.02,No,Future
415,5742,561,83,2025-01-08,Damaged Product,53.37,Yes,Future
416,6096,787,78,2025-09-14,Size Issue,42.93,Yes,Future
417,11185,457,81,2025-06-06,Changed Mind,107.62,Yes,Future
418,2652,190,15,2025-12-22,Damaged Product,64.22,Yes,Current
419,11227,663,13,2025-12-12,Damaged Product,97.94,No,Current
420,3195,795,34,2025-09-19,Size Issue,88.3,No,Current
