scorecard_id,supplier_id,scorecard_month,on_time_delivery_rate,avg_lead_time_days,defect_rate,supplier_score,scenario_phase
91,8,2025-07-01,91,31,9,71,Current
92,8,2025-08-01,96,20,3,80,Future
93,8,2025-09-01,96,19,1,81,Future
94,8,2025-10-01,98,18,4,85,Future
95,8,2025-11-01,98,16,3,83,Future
96,8,2025-12-01,98,16,5,83,Future
97,9,2025-01-01,89,37,10,81,Current
98,9,2025-02-01,93,34,7,80,Current
99,9,2025-03-01,94,32,5,80,Current
100,9,2025-04-01,92,34,4,74,Current
101,9,2025-05-01,94,31,7,80,Current
102,9,2025-06-01,89,33,5,75,Current
103,9,2025-07-01,94,38,4,78,Current
104,9,2025-08-01,98,23,1,86,Future
105,9,2025-09-01,97,22,3,87,Future
106,9,2025-10-01,97,24,3,89,Future
107,9,2025-11-01,96,26,3,86,Future
108,9,2025-12-01,98,23,1,86,Future
109,10,2025-01-01,89,22,9,80,Current
110,10,2025-02-01,88,22,7,76,Current
111,10,2025-03-01,92,22,4,77,Current
112,10,2025-04-01,85,23,7,76,Current
113,10,2025-05-01,86,25,5,72,Current
114,10,2025-06-01,92,22,5,74,Current
115,10,2025-07-01,89,24,3,80,Current
116,10,2025-08-01,94,14,1,84,Future
117,10,2025-09-01,94,14,3,85,Future
118,10,2025-10-01,96,16,4,88,Future
119,10,2025-11-01,93,14,3,87,Future
120,10,2025-12-01,96,14,4,83,Future
121,11,2025-01-01,71,68,4,65,Current
122,11,2025-02-01,74,63,8,65,Current
123,11,2025-03-01,69,68,10,66,Current
124,11,2025-04-01,72,63,6,62,Current
125,11,2025-05-01,70,63,9,62,Current
126,11,2025-06-01,68,62,9,71,Current
127,11,2025-07-01,72,62,10,69,Current
128,11,2025-08-01,77,58,4,78,Future
129,11,2025-09-01,77,56,1,74,Future
130,11,2025-10-01,76,58,5,75,Future
131,11,2025-11-01,79,53,4,76,Future
132,11,2025-12-01,76,53,2,74,Future
133,12,2025-01-01,79,34,10,65,Current
134,12,2025-02-01,78,38,5,65,Current
135,12,2025-03-01,73,35,7,63,Current
136,12,2025-04-01,74,34,3,62,Current
137,12,2025-05-01,74,37,6,66,Current
138,12,2025-06-01,75,36,10,66,Current
139,12,2025-07-01,73,34,8,62,Current
140,12,2025-08-01,83,25,4,70,Future
141,12,2025-09-01,84,26,1,68,Future
142,12,2025-10-01,80,22,5,69,Future
143,12,2025-11-01,83,24,2,69,Future
144,12,2025-12-01,80,23,5,69,Future
145,13,2025-01-01,69,64,4,65,Current
146,13,2025-02-01,71,67,6,69,Current
147,13,2025-03-01,69,66,8,63,Current
148,13,2025-04-01,75,66,8,62,Current
149,13,2025-05-01,74,68,8,70,Current
150,13,2025-06-01,70,67,10,65,Current
151,13,2025-07-01,73,67,8,69,Current
152,13,2025-08-01,79,60,2,77,Future
153,13,2025-09-01,79,59,3,75,Future
154,13,2025-10-01,77,58,2,76,Future
155,13,2025-11-01,80,57,4,76,Future
156,13,2025-12-01,80,56,5,76,Future
157,14,2025-01-01,83,37,5,91,Current
158,14,2025-02-01,85,36,3,89,Current
159,14,2025-03-01,84,34,8,91,Current
160,14,2025-04-01,80,37,8,90,Current
161,14,2025-05-01,84,37,9,89,Current
162,14,2025-06-01,84,36,3,90,Current
163,14,2025-07-01,83,34,7,94,Current
164,14,2025-08-01,89,23,4,98,Future
165,14,2025-09-01,90,28,1,98,Future
166,14,2025-10-01,87,24,2,98,Future
167,14,2025-11-01,90,23,4,98,Future
168,14,2025-12-01,86,22,1,98,Future
169,15,2025-01-01,84,39,6,76,Current
170,15,2025-02-01,89,39,9,81,Current
171,15,2025-03-01,83,39,4,80,Current
172,15,2025-04-01,84,34,8,83,Current
173,15,2025-05-01,86,38,10,76,Current
174,15,2025-06-01,90,34,8,81,Current
175,15,2025-07-01,90,37,4,81,Current
176,15,2025-08-01,95,27,4,86,Future
177,15,2025-09-01,94,25,3,86,Future
178,15,2025-10-01,92,25,1,88,Future
179,15,2025-11-01,91,23,2,87,Future
180,15,2025-12-01,91,29,3,85,Future
181,16,2025-01-01,81,25,4,78,Current
182,16,2025-02-01,83,19,8,80,Current
183,16,2025-03-01,82,18,5,83,Current
184,16,2025-04-01,80,20,3,75,Current
185,16,2025-05-01,78,22,4,82,Current
186,16,2025-06-01,84,22,7,81,Current
187,16,2025-07-01,84,18,8,81,Current
188,16,2025-08-01,85,14,2,85,Future
189,16,2025-09-01,87,14,2,88,Future
190,16,2025-10-01,85,14,3,88,Future
191,16,2025-11-01,85,14,5,88,Future
192,16,2025-12-01,88,14,4,90,Future
193,17,2025-01-01,66,42,4,68,Current
194,17,2025-02-01,65,38,8,69,Current
195,17,2025-03-01,65,42,5,64,Current
196,17,2025-04-01,72,38,8,72,Current
197,17,2025-05-01,66,40,10,71,Current
198,17,2025-06-01,70,41,6,71,Current
199,17,2025-07-01,68,41,3,70,Current
200,17,2025-08-01,73,28,1,78,Future
201,17,2025-09-01,77,28,3,79,Future
202,17,2025-10-01,75,29,4,79,Future
203,17,2025-11-01,75,26,5,76,Future
204,17,2025-12-01,76,30,4,75,Future
205,18,2025-01-01,58,68,9,54,Current
206,18,2025-02-01,57,66,3,49,Current
207,18,2025-03-01,64,69,4,46,Current
208,18,2025-04-01,64,64,7,53,Current
209,18,2025-05-01,57,67,5,50,Current
210,18,2025-06-01,62,62,5,53,Current
211,18,2025-07-01,59,62,3,50,Current
212,18,2025-08-01,66,55,5,58,Future
213,18,2025-09-01,68,55,1,60,Future
214,18,2025-10-01,65,55,1,58,Future
215,18,2025-11-01,68,55,2,58,Future
216,18,2025-12-01,69,59,2,60,Future
217,19,2025-01-01,78,27,4,83,Current
218,19,2025-02-01,77,32,9,80,Current
219,19,2025-03-01,81,29,6,76,Current
220,19,2025-04-01,83,29,10,82,Current
221,19,2025-05-01,80,26,9,74,Current
222,19,2025-06-01,84,28,6,78,Current
223,19,2025-07-01,79,26,5,75,Current
224,19,2025-08-01,86,22,4,86,Future
225,19,2025-09-01,86,18,1,87,Future
226,19,2025-10-01,85,23,4,85,Future
227,19,2025-11-01,86,18,2,86,Future
228,19,2025-12-01,87,18,4,86,Future
229,20,2025-01-01,75,26,7,61,Current
230,20,2025-02-01,73,25,4,62,Current
231,20,2025-03-01,73,23,10,69,Current
232,20,2025-04-01,71,26,7,67,Current
233,20,2025-05-01,71,24,6,65,Current
234,20,2025-06-01,77,26,9,64,Current
235,20,2025-07-01,73,19,8,64,Current
236,20,2025-08-01,81,14,1,77,Future
237,20,2025-09-01,81,14,2,77,Future
238,20,2025-10-01,80,14,2,73,Future
239,20,2025-11-01,80,16,4,72,Future
240,20,2025-12-01,82,15,5,74,Future
