order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount_amount,gross_sales,net_sales,delivery_delay_days,delivery_status,sales_channel,scenario_phase
104,2024-11-08,853,38,4,2,97.97,23.55,195.94,172.39,0,On Time,Online,Current
105,2024-08-09,972,88,4,2,41.48,2.62,82.96,80.34,0,On Time,Online,Current
106,2025-01-05,843,74,4,4,120.32,13.23,481.28,468.05,0,On Time,Click & Collect,Current
107,2025-08-03,289,52,3,3,18.05,4.13,54.15,50.02,0,On Time,In-Store,Future
108,2025-09-08,758,47,3,2,146.36,21.58,292.72,271.14,0,On Time,Click & Collect,Future
109,2024-11-16,186,88,6,1,41.48,3.48,41.48,38.0,2,Late,Online,Future
110,2024-02-19,862,47,2,1,146.36,9.98,146.36,136.38,0,On Time,Click & Collect,Current
111,2025-01-21,530,54,1,4,110.37,32.36,441.48,409.12,0,On Time,In-Store,Current
112,2024-02-19,891,26,5,1,117.76,11.11,117.76,106.65,0,On Time,In-Store,Future
113,2024-03-29,639,76,6,2,128.17,13.19,256.34,243.15,0,On Time,Online,Current
114,2025-06-15,544,90,5,4,82.64,1.23,330.56,329.33,0,On Time,Online,Future
115,2024-10-29,655,5,2,4,140.44,21.82,561.76,539.94,0,On Time,Online,Current
116,2024-05-08,900,7,6,3,172.34,21.89,517.02,495.13,1,Late,Online,Current
117,2024-12-26,219,61,1,1,82.33,15.76,82.33,66.57,0,On Time,Wholesale,Current
118,2024-05-23,874,23,6,3,87.41,14.89,262.23,247.34,0,On Time,Online,Future
119,2025-02-17,284,90,6,4,82.64,17.69,330.56,312.87,6,Late,Online,Current
120,2025-03-08,42,98,6,2,192.94,17.08,385.88,368.8,0,On Time,Online,Future
121,2024-06-23,377,33,2,1,219.29,26.79,219.29,192.5,3,Late,Online,Current
122,2025-10-29,914,5,3,2,140.44,9.9,280.88,270.98,7,Late,Click & Collect,Current
123,2025-06-15,309,25,3,2,27.12,28.06,54.24,26.18,0,On Time,Online,Current
124,2025-05-21,434,63,6,2,50.08,13.78,100.16,86.38,0,On Time,Online,Current
125,2025-04-21,730,80,1,1,119.07,10.12,119.07,108.95,0,On Time,In-Store,Future
126,2024-02-10,919,91,6,2,85.5,5.31,171.0,165.69,0,On Time,Online,Current
127,2025-11-06,247,59,3,3,99.02,8.97,297.06,288.09,0,On Time,Online,Current
128,2025-01-30,474,31,6,3,64.76,17.57,194.28,176.71,0,On Time,Online,Future
129,2024-02-16,369,77,6,4,132.93,10.32,531.72,521.4,6,Late,Online,Current
130,2024-06-27,863,114,4,1,83.67,3.89,83.67,79.78,0,On Time,Wholesale,Current
131,2024-04-07,917,87,1,4,80.57,1.91,322.28,320.37,0,On Time,Online,Future
132,2024-02-02,820,37,6,2,141.5,6.15,283.0,276.85,0,On Time,Online,Current
133,2025-11-22,55,7,1,1,172.34,11.65,172.34,160.69,0,On Time,Wholesale,Future
134,2024-02-12,444,41,1,1,110.65,15.76,110.65,94.89,0,On Time,Click & Collect,Future
135,2024-10-21,49,8,1,1,62.57,9.86,62.57,52.71,0,On Time,In-Store,Future
136,2025-03-16,575,58,1,3,118.61,14.5,355.83,341.33,0,On Time,Online,Current
137,2025-06-06,266,13,6,1,109.25,27.72,109.25,81.53,0,On Time,Wholesale,Current
138,2024-05-10,916,1,6,4,125.71,32.44,502.84,470.4,4,Late,Online,Current
139,2024-10-12,384,5,1,2,140.44,11.35,280.88,269.53,0,On Time,Click & Collect,Current
140,2025-04-17,55,3,6,4,182.39,5.41,729.56,724.15,0,On Time,Online,Future
141,2024-10-24,497,109,6,4,65.96,33.06,263.84,230.78,0,On Time,Online,Current
142,2024-11-03,17,66,6,2,105.25,5.65,210.5,204.85,1,Late,Online,Future
143,2024-05-23,81,63,6,1,50.08,34.84,50.08,15.24,7,Late,Online,Current
144,2024-06-09,285,45,1,1,29.58,29.87,29.58,-0.29,0,On Time,Online,Future
145,2025-09-15,344,24,6,1,152.6,23.38,152.6,129.22,0,On Time,Online,Current
146,2025-11-10,419,81,6,1,110.75,27.36,110.75,83.39,0,On Time,Online,Future
147,2025-11-24,827,109,6,1,65.96,26.27,65.96,39.69,0,On Time,Online,Current
148,2025-05-21,945,86,4,2,102.94,2.79,205.88,203.09,7,Late,Online,Current
149,2025-03-03,38,72,5,2,141.82,23.1,283.64,260.54,0,On Time,Wholesale,Current
150,2024-06-02,732,73,2,3,20.46,20.99,61.38,40.39,0,On Time,Wholesale,Current
151,2025-04-08,159,84,3,4,108.1,11.23,432.4,421.17,0,On Time,Wholesale,Future
152,2024-04-14,351,38,1,3,97.97,13.52,293.91,280.39,0,On Time,Online,Current
153,2025-02-13,586,108,2,2,50.05,26.73,100.1,73.37,0,On Time,Click & Collect,Current
154,2024-01-20,503,17,2,2,141.85,0.09,283.7,283.61,0,On Time,Click & Collect,Current
155,2025-01-21,783,70,4,1,117.81,25.89,117.81,91.92,0,On Time,Online,Current
156,2024-01-04,509,101,4,3,123.75,32.82,371.25,338.43,3,Late,Click & Collect,Current
157,2024-07-21,646,17,6,4,141.85,3.13,567.4,564.27,0,On Time,Online,Current
158,2024-07-01,152,74,1,1,120.32,12.83,120.32,107.49,0,On Time,Online,Future
159,2024-06-11,620,68,2,4,76.01,25.08,304.04,278.96,0,On Time,Click & Collect,Future
160,2025-10-26,849,68,6,2,76.01,24.05,152.02,127.97,0,On Time,Online,Current
161,2025-05-03,367,77,3,4,132.93,6.16,531.72,525.56,0,On Time,Wholesale,Future
162,2024-05-20,825,99,6,1,170.64,24.25,170.64,146.39,0,On Time,In-Store,Current
163,2024-01-16,259,13,6,4,109.25,15.09,437.0,421.91,0,On Time,Online,Future
164,2024-05-11,543,11,6,2,40.32,22.11,80.64,58.53,0,On Time,Online,Current
165,2025-01-14,946,109,2,1,65.96,4.36,65.96,61.6,0,On Time,In-Store,Current
166,2024-12-19,750,71,2,1,135.62,30.37,135.62,105.25,0,On Time,Online,Current
167,2025-07-04,289,86,6,1,102.94,29.2,102.94,73.74,0,On Time,Online,Future
168,2025-10-12,479,5,1,2,140.44,2.98,280.88,277.9,0,On Time,In-Store,Current
169,2025-02-22,514,48,6,4,94.16,3.65,376.64,372.99,0,On Time,Online,Current
170,2025-12-03,859,80,1,3,119.07,15.25,357.21,341.96,5,Late,Online,Current
171,2025-08-26,453,27,2,3,148.3,4.75,444.9,440.15,0,On Time,In-Store,Current
172,2024-02-19,637,53,6,3,103.59,20.03,310.77,290.74,0,On Time,Online,Future
173,2025-10-23,993,3,6,3,182.39,0.86,547.17,546.31,0,On Time,Online,Current
174,2024-10-09,611,102,6,3,68.71,23.83,206.13,182.3,0,On Time,Online,Future
175,2024-09-10,126,103,6,4,113.76,1.4,455.04,453.64,0,On Time,Online,Current
176,2024-11-05,114,74,1,2,120.32,16.23,240.64,224.41,2,Late,Online,Future
177,2025-04-26,218,85,1,2,142.01,31.99,284.02,252.03,0,On Time,Wholesale,Current
178,2024-10-24,257,90,6,4,82.64,12.01,330.56,318.55,0,On Time,Online,Future
179,2025-05-28,678,47,6,3,146.36,17.29,439.08,421.79,0,On Time,Online,Current
180,2025-05-25,533,102,6,4,68.71,15.62,274.84,259.22,0,On Time,Online,Current
181,2024-10-27,498,63,1,4,50.08,1.71,200.32,198.61,0,On Time,Online,Current
182,2024-08-07,549,15,6,2,76.6,6.53,153.2,146.67,0,On Time,Online,Current
183,2025-04-25,505,41,6,4,110.65,3.83,442.6,438.77,1,Late,Online,Current
184,2024-05-09,220,91,2,2,85.5,15.43,171.0,155.57,0,On Time,Online,Current
185,2024-06-15,537,42,2,4,65.4,9.93,261.6,251.67,0,On Time,Online,Future
186,2025-05-30,6,1,1,2,125.71,6.44,251.42,244.98,0,On Time,Online,Future
187,2025-03-18,103,53,6,3,103.59,28.32,310.77,282.45,0,On Time,Online,Current
188,2024-06-01,495,65,1,3,71.32,33.53,213.96,180.43,1,Late,Wholesale,Future
189,2025-03-20,536,75,2,4,112.15,17.3,448.6,431.3,0,On Time,Wholesale,Future
190,2025-03-22,950,24,4,4,152.6,7.28,610.4,603.12,0,On Time,Online,Current
191,2025-07-22,483,98,5,3,192.94,17.27,578.82,561.55,0,On Time,Online,Future
192,2024-04-25,716,82,6,2,135.39,19.76,270.78,251.02,0,On Time,Online,Current
193,2024-09-15,644,33,1,3,219.29,7.2,657.87,650.67,0,On Time,In-Store,Current
194,2025-08-24,798,36,2,1,162.38,10.56,162.38,151.82,0,On Time,Online,Current
195,2024-06-10,534,55,1,2,80.85,17.96,161.7,143.74,0,On Time,Online,Current
196,2025-04-26,464,101,1,4,123.75,3.04,495.0,491.96,2,Late,In-Store,Current
197,2024-10-26,597,66,6,3,105.25,0.62,315.75,315.13,0,On Time,Online,Future
198,2025-06-06,176,31,1,3,64.76,34.71,194.28,159.57,0,On Time,Wholesale,Current
199,2025-07-11,211,97,6,3,54.01,31.05,162.03,130.98,0,On Time,Online,Future
200,2024-08-17,389,16,4,1,103.76,15.05,103.76,88.71,0,On Time,Wholesale,Future
201,2025-12-11,100,32,6,1,183.92,8.38,183.92,175.54,0,On Time,Online,Future
202,2024-10-15,682,57,1,2,144.33,25.24,288.66,263.42,0,On Time,Wholesale,Future
203,2024-01-16,626,4,6,4,143.64,31.44,574.56,543.12,0,On Time,Online,Current
204,2025-11-12,313,102,1,2,68.71,31.94,137.42,105.48,1,Late,Wholesale,Current
205,2025-01-05,581,78,6,4,57.86,17.6,231.44,213.84,0,On Time,Online,Current
206,2025-07-12,643,106,1,2,28.51,18.26,57.02,38.76,0,On Time,Online,Future
207,2025-06-13,691,30,1,2,33.3,34.35,66.6,32.25,0,On Time,Online,Current
208,2024-03-30,47,35,6,1,41.4,5.03,41.4,36.37,0,On Time,Online,Current
209,2025-09-06,985,77,6,4,132.93,21.39,531.72,510.33,0,On Time,Online,Future
210,2024-01-02,313,71,1,2,135.62,18.72,271.24,252.52,0,On Time,Click & Collect,Future
211,2025-05-21,871,70,6,2,117.81,28.48,235.62,207.14,0,On Time,Online,Future
212,2025-11-16,491,85,6,4,142.01,30.57,568.04,537.47,0,On Time,Online,Future
213,2025-01-08,281,30,4,1,33.3,33.57,33.3,-0.27,0,On Time,In-Store,Future
214,2025-09-06,946,72,6,4,141.82,20.53,567.28,546.75,0,On Time,Wholesale,Future
215,2024-02-10,864,60,6,3,148.3,9.42,444.9,435.48,2,Late,Online,Current
216,2024-04-26,619,106,6,2,28.51,20.92,57.02,36.1,1,Late,Online,Current
217,2024-06-24,688,18,2,2,53.11,31.91,106.22,74.31,2,Late,Online,Current
218,2024-06-15,72,2,6,2,200.36,0.03,400.72,400.69,0,On Time,Online,Current
219,2024-06-25,538,119,2,2,21.52,32.02,43.04,11.02,0,On Time,Wholesale,Future
220,2024-11-21,653,14,5,3,85.15,15.98,255.45,239.47,0,On Time,Online,Current
221,2025-04-29,51,117,2,1,131.87,5.76,131.87,126.11,2,Late,Wholesale,Current
222,2024-01-12,704,102,3,2,68.71,34.46,137.42,102.96,0,On Time,In-Store,Future
223,2024-01-06,965,82,6,1,135.39,33.76,135.39,101.63,0,On Time,Online,Current
224,2024-08-30,720,63,3,4,50.08,2.75,200.32,197.57,0,On Time,Click & Collect,Future
225,2025-12-16,828,22,6,2,118.48,29.6,236.96,207.36,0,On Time,Online,Future
226,2024-06-07,664,43,3,1,129.42,33.8,129.42,95.62,0,On Time,Online,Current
227,2025-02-20,833,31,6,3,64.76,22.75,194.28,171.53,0,On Time,Online,Current
228,2025-02-05,198,90,6,1,82.64,28.38,82.64,54.26,3,Late,Online,Current
229,2024-10-18,899,100,1,1,91.89,31.77,91.89,60.12,0,On Time,Online,Current
230,2025-05-15,267,66,2,2,105.25,33.89,210.5,176.61,0,On Time,Wholesale,Future
231,2024-09-02,115,113,3,3,120.7,20.15,362.1,341.95,0,On Time,In-Store,Current
232,2025-10-25,101,11,1,2,40.32,24.55,80.64,56.09,1,Late,Online,Future
233,2025-10-22,537,52,5,1,18.05,24.98,18.05,-6.93,0,On Time,Online,Future
234,2024-12-17,908,70,3,3,117.81,22.69,353.43,330.74,3,Late,Online,Current
235,2024-10-08,950,115,6,2,131.17,21.94,262.34,240.4,0,On Time,Online,Future
236,2025-05-21,946,84,4,4,108.1,25.73,432.4,406.67,0,On Time,Online,Future
237,2024-05-05,992,114,2,1,83.67,29.86,83.67,53.81,2,Late,Wholesale,Future
238,2024-02-17,700,47,4,4,146.36,25.2,585.44,560.24,0,On Time,Online,Future
239,2025-01-15,280,15,2,3,76.6,9.6,229.8,220.2,0,On Time,Wholesale,Current
240,2025-05-17,474,7,3,1,172.34,4.45,172.34,167.89,0,On Time,In-Store,Future
241,2025-03-16,977,117,1,1,131.87,2.76,131.87,129.11,1,Late,Online,Future
242,2025-11-09,750,20,5,1,93.73,17.25,93.73,76.48,6,Late,Wholesale,Current
243,2024-12-29,995,18,5,4,53.11,17.22,212.44,195.22,6,Late,Online,Current
244,2025-08-26,400,84,5,2,108.1,8.36,216.2,207.84,0,On Time,Wholesale,Future
245,2025-01-10,424,94,2,4,56.02,24.14,224.08,199.94,0,On Time,Online,Current
246,2024-03-21,283,113,6,4,120.7,9.04,482.8,473.76,0,On Time,Online,Current
247,2024-05-22,769,9,6,3,102.79,17.12,308.37,291.25,0,On Time,Online,Future
248,2025-06-22,711,98,5,1,192.94,29.84,192.94,163.1,0,On Time,Online,Future
249,2024-07-14,232,31,2,3,64.76,9.86,194.28,184.42,0,On Time,Wholesale,Current
250,2025-12-06,628,112,1,3,167.65,34.18,502.95,468.77,0,On Time,Online,Current
251,2024-07-23,467,37,6,4,141.5,1.33,566.0,564.67,0,On Time,Online,Current
252,2024-02-04,990,99,3,3,170.64,28.08,511.92,483.84,0,On Time,Online,Current
253,2025-06-12,922,15,2,1,76.6,7.02,76.6,69.58,0,On Time,Online,Current
254,2025-07-09,924,15,6,2,76.6,22.31,153.2,130.89,0,On Time,Online,Current
255,2025-12-29,995,8,6,3,62.57,3.33,187.71,184.38,0,On Time,Online,Current
256,2024-05-29,793,63,6,3,50.08,2.2,150.24,148.04,0,On Time,Online,Future
257,2024-08-15,818,15,1,2,76.6,17.27,153.2,135.93,0,On Time,Click & Collect,Future
258,2025-11-14,661,4,1,4,143.64,14.26,574.56,560.3,0,On Time,Online,Future
259,2024-10-22,67,72,6,3,141.82,5.58,425.46,419.88,0,On Time,Online,Current
260,2025-04-01,222,109,3,3,65.96,20.77,197.88,177.11,0,On Time,Online,Future
261,2024-11-11,229,30,6,3,33.3,3.14,99.9,96.76,0,On Time,Online,Future
262,2025-07-26,313,34,6,2,116.01,5.45,232.02,226.57,4,Late,Online,Current
263,2024-03-18,605,71,3,2,135.62,18.26,271.24,252.98,0,On Time,In-Store,Future
264,2025-03-27,456,78,3,4,57.86,23.86,231.44,207.58,0,On Time,In-Store,Future
265,2025-05-01,282,5,1,2,140.44,5.37,280.88,275.51,0,On Time,Online,Current
266,2024-03-19,754,7,6,2,172.34,13.27,344.68,331.41,0,On Time,Online,Current
267,2025-01-27,876,82,3,1,135.39,20.25,135.39,115.14,0,On Time,Online,Future
268,2024-07-03,919,20,1,4,93.73,22.78,374.92,352.14,0,On Time,In-Store,Current
269,2024-02-24,816,34,5,2,116.01,17.51,232.02,214.51,0,On Time,Online,Future
270,2025-06-08,539,116,1,1,159.24,16.23,159.24,143.01,0,On Time,Wholesale,Current
271,2025-04-27,752,68,5,3,76.01,32.12,228.03,195.91,1,Late,Click & Collect,Current
272,2025-01-22,822,22,1,1,118.48,16.17,118.48,102.31,0,On Time,In-Store,Current
273,2025-09-29,714,40,6,2,35.44,32.49,70.88,38.39,0,On Time,Online,Future
274,2025-08-24,104,72,2,4,141.82,21.24,567.28,546.04,0,On Time,Click & Collect,Current
275,2025-03-17,785,27,1,4,148.3,7.26,593.2,585.94,0,On Time,Online,Future
276,2025-10-31,310,42,4,4,65.4,26.06,261.6,235.54,5,Late,Online,Current
277,2024-11-06,651,67,3,3,214.61,24.58,643.83,619.25,0,On Time,Online,Future
278,2024-10-28,546,107,6,4,49.65,15.51,198.6,183.09,0,On Time,Online,Future
279,2025-08-15,113,17,6,2,141.85,9.43,283.7,274.27,0,On Time,Online,Current
280,2024-04-12,276,85,1,2,142.01,21.63,284.02,262.39,0,On Time,Click & Collect,Future
281,2024-06-15,921,8,2,1,62.57,11.04,62.57,51.53,0,On Time,In-Store,Current
282,2025-05-20,824,11,3,4,40.32,17.8,161.28,143.48,0,On Time,Click & Collect,Current
283,2024-05-01,415,118,4,2,167.17,23.27,334.34,311.07,0,On Time,Online,Current
284,2025-03-17,192,68,6,1,76.01,34.3,76.01,41.71,0,On Time,Online,Future
285,2024-05-08,233,7,1,3,172.34,27.16,517.02,489.86,1,Late,Wholesale,Current
286,2025-12-12,415,55,2,1,80.85,16.3,80.85,64.55,0,On Time,Online,Future
287,2024-07-18,357,60,3,3,148.3,17.62,444.9,427.28,4,Late,Online,Current
288,2025-11-09,363,96,6,1,44.65,25.13,44.65,19.52,2,Late,Online,Current
289,2024-03-30,62,28,6,3,154.21,16.09,462.63,446.54,0,On Time,Online,Current
290,2025-12-03,337,119,5,2,21.52,22.71,43.04,20.33,0,On Time,Wholesale,Future
291,2025-09-01,881,110,4,4,159.94,15.53,639.76,624.23,0,On Time,Online,Future
292,2024-01-20,181,114,6,3,83.67,18.29,251.01,232.72,0,On Time,Online,Current
293,2025-11-13,935,90,2,4,82.64,29.98,330.56,300.58,0,On Time,Wholesale,Current
294,2025-06-08,163,96,6,4,44.65,9.43,178.6,169.17,0,On Time,Online,Current
295,2025-03-04,858,54,1,1,110.37,33.16,110.37,77.21,6,Late,Online,Current
296,2024-01-20,916,107,2,1,49.65,18.03,49.65,31.62,0,On Time,Click & Collect,Current
297,2024-09-23,379,58,1,4,118.61,24.78,474.44,449.66,0,On Time,Online,Current
298,2025-06-16,635,39,1,2,128.17,33.91,256.34,222.43,0,On Time,Online,Future
299,2025-10-06,985,114,6,2,83.67,17.47,167.34,149.87,0,On Time,Online,Current
300,2025-08-01,852,38,6,4,97.97,24.01,391.88,367.87,1,Late,In-Store,Future
301,2025-02-12,672,108,3,2,50.05,32.69,100.1,67.41,0,On Time,Online,Future
302,2024-12-08,950,70,6,2,117.81,26.38,235.62,209.24,0,On Time,Online,Future
