ticket_id,customer_id,order_id,ticket_created_date,ticket_category,priority,resolution_hours,csat_score,scenario_phase
44,40,5182,2025-12-13,Stock Availability,Medium,48,4,Current
45,992,7777,2025-05-20,Order Status,Medium,34,9,Future
46,48,3667,2025-06-26,Refund Request,Low,35,3,Current
47,429,4031,2025-10-19,Stock Availability,Medium,36,5,Current
48,889,2642,2024-03-11,Late Delivery,High,74,5,Current
49,585,3643,2025-04-24,Damaged Product,High,46,6,Current
50,553,5851,2025-12-29,Late Delivery,Medium,26,5,Current
51,989,3307,2025-10-20,Late Delivery,High,55,7,Current
52,741,7816,2025-07-05,Late Delivery,High,18,7,Current
53,870,8624,2025-07-05,Late Delivery,Medium,81,5,Current
54,477,9142,2025-09-29,Late Delivery,Medium,39,3,Current
55,986,4094,2025-05-28,Stock Availability,Low,13,10,Future
56,128,2306,2025-09-14,Late Delivery,Low,39,3,Current
57,901,7550,2024-05-02,Damaged Product,Critical,70,3,Current
58,360,6645,2025-12-25,Damaged Product,High,22,7,Current
59,357,703,2025-09-23,Order Status,Medium,7,8,Future
60,883,1699,2025-07-03,Order Status,Critical,68,4,Current
61,543,11255,2025-12-20,Late Delivery,High,22,4,Current
62,998,8540,2025-09-28,Stock Availability,High,48,6,Current
63,257,178,2025-11-07,Late Delivery,High,26,8,Future
64,379,4342,2025-03-11,Refund Request,Low,11,10,Future
65,530,764,2024-04-25,Late Delivery,Critical,42,7,Current
66,640,1888,2025-08-06,Wrong Item,Critical,21,7,Future
67,666,7894,2024-10-03,Refund Request,Low,40,3,Current
68,247,9016,2025-12-19,Damaged Product,Critical,52,5,Current
69,811,9612,2025-10-01,Order Status,Critical,11,8,Future
70,745,3406,2025-06-02,Late Delivery,Critical,47,6,Current
71,413,5221,2025-11-01,Order Status,Medium,80,6,Current
72,830,2350,2025-10-24,Damaged Product,Low,63,5,Current
73,375,11510,2024-09-05,Stock Availability,Medium,18,7,Current
74,857,9310,2025-02-17,Wrong Item,Low,32,8,Future
75,456,8903,2024-09-19,Stock Availability,High,64,7,Current
76,631,6651,2025-05-07,Late Delivery,Low,20,3,Current
77,571,10237,2025-09-08,Late Delivery,Medium,63,7,Current
78,825,8831,2025-11-08,Refund Request,High,76,4,Current
79,597,4910,2025-08-01,Stock Availability,Low,43,7,Current
80,347,1357,2025-11-10,Wrong Item,Low,20,9,Future
81,840,8374,2025-12-07,Stock Availability,Medium,73,6,Current
82,227,1348,2025-12-18,Refund Request,High,95,3,Current
83,564,2747,2025-02-23,Late Delivery,Medium,39,4,Current
84,968,11701,2025-10-21,Wrong Item,Critical,29,6,Current
85,294,4123,2025-12-19,Stock Availability,Low,20,7,Current
86,257,11203,2025-12-05,Refund Request,High,47,3,Current
87,598,5418,2025-09-05,Wrong Item,Critical,42,7,Current
88,961,1056,2025-07-22,Late Delivery,Medium,90,3,Current
89,321,2086,2025-02-16,Refund Request,Medium,42,7,Current
90,756,5532,2025-11-30,Stock Availability,Medium,81,7,Current
91,267,8163,2025-11-29,Late Delivery,Medium,40,3,Current
92,266,137,2025-12-02,Wrong Item,High,41,7,Current
93,795,9257,2025-12-16,Late Delivery,Medium,29,5,Current
94,843,9518,2025-12-11,Damaged Product,Medium,35,7,Current
95,285,144,2024-07-06,Damaged Product,Critical,8,9,Future
96,155,2634,2025-03-22,Order Status,High,30,3,Current
97,677,11250,2025-03-29,Damaged Product,Medium,8,10,Future
98,214,9077,2025-08-25,Damaged Product,Medium,33,3,Current
99,672,4593,2025-10-03,Stock Availability,Low,34,9,Future
100,111,10201,2025-12-27,Stock Availability,Medium,91,7,Current
101,950,426,2025-03-25,Late Delivery,High,23,3,Current
102,807,10672,2025-08-21,Damaged Product,Medium,29,9,Future
103,219,5371,2025-01-25,Late Delivery,Low,29,3,Current
104,678,9913,2025-11-09,Damaged Product,Low,77,4,Current
105,322,4994,2024-10-05,Late Delivery,High,34,7,Current
106,790,5866,2025-07-19,Wrong Item,Critical,82,4,Current
107,990,2151,2025-06-11,Wrong Item,Medium,30,6,Current
108,704,10771,2025-04-12,Damaged Product,Low,8,10,Future
109,375,10325,2025-07-05,Refund Request,High,19,4,Current
110,387,3533,2024-09-11,Damaged Product,High,84,7,Current
111,533,9208,2025-03-30,Order Status,Medium,8,10,Future
112,301,9303,2025-12-21,Refund Request,Critical,90,7,Current
113,483,191,2025-12-22,Refund Request,Low,11,8,Future
114,602,2876,2025-05-30,Stock Availability,Medium,29,3,Current
115,298,769,2025-08-25,Late Delivery,Critical,76,4,Current
116,792,5204,2025-11-14,Order Status,Medium,35,3,Current
117,800,9042,2025-02-20,Refund Request,High,40,6,Current
118,268,383,2025-11-06,Wrong Item,Medium,54,6,Current
119,977,2568,2025-09-21,Refund Request,High,72,6,Current
120,289,2496,2024-08-20,Refund Request,High,69,3,Current
121,378,10843,2025-09-12,Late Delivery,High,72,6,Current
122,696,5331,2025-07-30,Refund Request,Medium,20,8,Future
123,326,7789,2025-10-09,Refund Request,High,25,5,Current
124,763,8053,2024-08-18,Order Status,High,36,8,Future
125,290,1264,2025-10-10,Wrong Item,Medium,57,4,Current
126,985,3492,2025-12-11,Damaged Product,High,19,6,Current
127,737,7892,2025-06-30,Order Status,High,71,5,Current
128,489,10524,2025-07-02,Late Delivery,High,27,7,Future
129,850,1103,2024-12-11,Order Status,Medium,32,10,Future
130,433,5156,2025-09-26,Late Delivery,High,29,6,Current
131,442,9815,2025-04-02,Wrong Item,High,69,5,Current
132,443,10520,2025-11-08,Late Delivery,Medium,37,3,Current
133,905,2720,2025-05-11,Late Delivery,Critical,20,3,Current
134,230,9581,2025-06-12,Order Status,High,30,3,Current
135,955,6028,2025-10-05,Stock Availability,Low,30,7,Current
136,222,3534,2025-08-18,Wrong Item,High,19,10,Future
137,426,4759,2025-12-16,Refund Request,Low,96,3,Current
138,747,9531,2025-08-01,Stock Availability,High,56,6,Current
139,816,10734,2025-07-02,Late Delivery,Medium,57,5,Current
140,562,11524,2025-06-18,Late Delivery,High,51,6,Current
141,89,404,2025-12-29,Late Delivery,Medium,31,4,Current
142,585,9017,2025-01-12,Late Delivery,Low,25,3,Current
143,905,11116,2025-12-24,Late Delivery,Low,42,6,Current
144,435,965,2025-12-28,Order Status,High,44,3,Current
145,106,7351,2025-10-10,Late Delivery,Medium,96,6,Current
146,451,1182,2024-12-08,Late Delivery,Medium,6,8,Future
147,678,10654,2025-05-19,Stock Availability,High,28,9,Future
148,158,788,2025-11-18,Refund Request,High,75,6,Current
149,798,5818,2025-11-15,Late Delivery,Medium,54,5,Current
150,941,5370,2025-06-28,Late Delivery,Medium,8,7,Future
151,792,4637,2024-11-04,Refund Request,High,43,7,Current
152,976,5430,2025-06-04,Damaged Product,Medium,95,3,Current
153,422,4295,2025-12-24,Damaged Product,Medium,64,7,Current
154,323,5202,2025-08-02,Stock Availability,Medium,23,5,Current
155,212,1341,2025-10-24,Order Status,Low,26,7,Future
156,811,9244,2025-08-07,Stock Availability,Medium,87,6,Current
157,819,3583,2025-08-14,Refund Request,Medium,19,3,Current
158,956,7677,2024-10-23,Stock Availability,Medium,36,7,Current
159,156,319,2025-01-30,Late Delivery,High,20,6,Current
160,55,7447,2025-10-16,Order Status,Critical,27,7,Current
161,854,9800,2025-12-03,Refund Request,High,68,5,Current
162,950,426,2025-08-25,Damaged Product,High,83,6,Current
163,225,4208,2025-08-24,Damaged Product,Critical,66,4,Current
164,818,6333,2025-05-18,Order Status,High,24,8,Future
165,185,7282,2025-05-27,Wrong Item,High,73,7,Current
166,47,5179,2025-12-07,Refund Request,Critical,17,7,Future
167,410,11416,2025-07-15,Late Delivery,High,52,6,Current
168,948,6802,2024-05-19,Late Delivery,High,28,6,Current
169,294,3260,2024-12-21,Order Status,Medium,7,9,Future
170,843,10266,2025-12-11,Refund Request,High,17,9,Future
171,687,11044,2024-12-27,Refund Request,High,64,5,Current
172,833,227,2025-03-11,Late Delivery,High,68,6,Current
173,486,2409,2025-05-03,Refund Request,High,26,7,Current
174,751,6090,2025-08-28,Late Delivery,Medium,31,8,Future
175,454,5711,2024-09-18,Late Delivery,High,18,5,Current
176,41,9874,2025-12-10,Stock Availability,Critical,78,6,Current
177,530,4267,2025-10-03,Order Status,Medium,6,7,Future
178,688,8761,2025-10-01,Late Delivery,High,65,6,Current
179,483,9659,2025-09-22,Damaged Product,Medium,63,4,Current
180,733,10968,2025-05-04,Late Delivery,Medium,73,5,Current
181,724,2596,2024-10-17,Damaged Product,High,31,5,Current
182,98,2284,2025-10-31,Stock Availability,Medium,78,3,Current
183,96,6490,2025-02-17,Late Delivery,Critical,86,7,Current
184,823,7780,2025-07-24,Order Status,Medium,50,7,Current
185,18,6815,2025-10-23,Order Status,High,24,10,Future
186,82,8522,2025-07-08,Late Delivery,Low,47,3,Current
187,824,3434,2025-11-12,Stock Availability,Medium,9,8,Future
188,325,9088,2025-05-22,Order Status,Low,36,10,Future
189,781,4839,2025-11-06,Late Delivery,Critical,71,6,Current
190,288,7733,2025-10-28,Late Delivery,High,54,7,Current
191,327,9324,2025-11-09,Damaged Product,Medium,74,3,Current
192,550,10152,2025-06-30,Late Delivery,Low,55,5,Current
193,151,5454,2024-10-07,Order Status,High,31,9,Future
194,409,4617,2024-08-25,Stock Availability,Critical,38,3,Current
195,758,5666,2025-03-03,Late Delivery,Low,30,10,Future
196,813,3684,2025-06-12,Refund Request,Medium,20,7,Current
197,548,10840,2025-09-12,Order Status,Medium,8,8,Future
198,6,7735,2025-12-22,Stock Availability,High,28,9,Future
199,65,11318,2025-11-20,Order Status,Medium,75,3,Current
200,348,3952,2024-10-10,Late Delivery,Low,65,5,Current
201,617,6261,2025-07-18,Damaged Product,Low,23,9,Future
202,899,229,2024-12-23,Late Delivery,Critical,46,5,Current
203,72,4756,2024-09-06,Late Delivery,Medium,27,6,Current
204,24,3280,2024-05-01,Order Status,Critical,13,10,Future
205,462,4721,2025-10-18,Late Delivery,Critical,89,5,Current
206,489,10524,2025-12-29,Order Status,Critical,34,7,Future
207,106,7351,2025-04-26,Late Delivery,Medium,80,4,Current
208,915,5673,2024-10-18,Refund Request,High,36,7,Future
209,910,1708,2025-10-14,Late Delivery,Medium,27,5,Current
210,763,10072,2025-11-19,Order Status,Medium,9,9,Future
211,851,5879,2025-09-18,Refund Request,Critical,86,5,Current
212,128,357,2025-01-28,Order Status,Medium,21,7,Future
213,506,7220,2025-11-15,Late Delivery,Medium,58,5,Current
214,855,11973,2025-11-20,Stock Availability,High,69,4,Current
215,252,1814,2025-10-10,Late Delivery,Medium,76,5,Current
216,159,10606,2025-12-02,Stock Availability,Medium,73,7,Current
217,86,5046,2024-12-19,Stock Availability,Medium,88,4,Current
218,288,1082,2025-11-26,Late Delivery,Medium,87,4,Current
219,828,10010,2025-05-04,Wrong Item,Medium,32,10,Future
220,97,7835,2024-12-23,Late Delivery,Medium,64,5,Current
221,343,11425,2024-02-08,Refund Request,Critical,87,4,Current
222,449,2341,2025-12-11,Late Delivery,Low,12,7,Future
223,733,10968,2025-12-01,Order Status,Medium,26,3,Current
224,398,11326,2025-09-13,Damaged Product,Medium,77,7,Current
225,960,11934,2025-10-16,Late Delivery,Critical,38,7,Current
226,548,7637,2025-12-15,Refund Request,High,28,7,Future
227,417,3387,2025-10-27,Damaged Product,Medium,50,4,Current
228,792,4637,2025-06-04,Order Status,Medium,59,5,Current
229,902,342,2025-03-10,Refund Request,High,19,3,Current
230,33,1389,2024-11-24,Order Status,Critical,59,4,Current
231,67,6941,2025-12-11,Order Status,High,23,9,Future
232,484,6783,2025-01-17,Order Status,Medium,75,4,Current
233,174,8569,2025-11-01,Wrong Item,High,27,3,Current
234,279,11830,2025-02-22,Refund Request,Medium,23,8,Future
235,14,806,2025-07-29,Late Delivery,Critical,8,8,Future
236,937,5313,2025-07-31,Stock Availability,High,34,7,Current
237,498,2948,2025-10-02,Stock Availability,High,95,5,Current
238,214,9077,2025-08-13,Late Delivery,Low,94,6,Current
239,318,6340,2025-09-18,Order Status,Low,25,7,Future
240,692,11407,2025-03-26,Damaged Product,High,26,7,Future
241,960,3718,2024-08-01,Order Status,High,61,6,Current
242,699,9299,2025-08-12,Late Delivery,Critical,6,10,Future
243,554,1572,2025-02-22,Late Delivery,Critical,39,4,Current
244,897,6437,2024-07-29,Refund Request,Medium,50,5,Current
245,123,6602,2025-11-14,Stock Availability,Medium,80,4,Current
246,378,8485,2025-11-30,Stock Availability,Medium,50,4,Current
247,710,10042,2025-04-18,Late Delivery,Low,92,6,Current
248,396,2021,2025-10-30,Stock Availability,Low,53,4,Current
249,37,5194,2025-04-24,Late Delivery,High,55,6,Current
250,292,2514,2025-11-26,Damaged Product,Medium,12,9,Future
251,190,7177,2025-09-27,Late Delivery,Medium,28,7,Current
252,505,183,2025-11-14,Late Delivery,Medium,64,5,Current
253,34,3097,2025-05-29,Refund Request,Critical,54,7,Current
254,907,5053,2025-11-21,Wrong Item,High,69,5,Current
255,108,3161,2025-02-27,Refund Request,High,14,10,Future
256,989,3307,2025-10-27,Refund Request,Medium,58,5,Current
257,224,9732,2025-04-03,Order Status,High,40,7,Current
258,73,9147,2025-07-22,Late Delivery,Medium,31,4,Current
259,670,4347,2025-07-13,Damaged Product,High,52,3,Current
260,210,773,2025-06-19,Late Delivery,Medium,38,5,Current
261,197,8436,2025-12-04,Order Status,Medium,21,8,Future
262,587,1566,2025-03-10,Order Status,Medium,12,9,Future
263,583,4439,2025-10-05,Late Delivery,High,77,5,Current
264,1000,11935,2025-12-11,Damaged Product,High,81,7,Current
265,113,4122,2025-12-25,Damaged Product,Medium,8,10,Future
266,475,2527,2024-12-09,Late Delivery,High,41,3,Current
267,485,1809,2025-05-10,Order Status,Medium,6,7,Future
268,605,9008,2025-10-24,Refund Request,Low,49,6,Current
269,304,629,2024-07-08,Refund Request,High,51,7,Current
270,547,828,2025-09-16,Refund Request,Medium,57,7,Current
271,114,4366,2024-12-26,Refund Request,High,70,5,Current
272,224,8631,2025-05-10,Wrong Item,Low,50,4,Current
273,567,11575,2025-03-11,Stock Availability,Low,68,3,Current
274,296,11323,2024-09-21,Order Status,Critical,35,9,Future
275,116,11716,2025-03-02,Damaged Product,High,49,5,Current
276,263,10061,2025-01-19,Refund Request,High,9,10,Future
277,586,3156,2025-11-11,Late Delivery,Medium,40,3,Current
278,130,7700,2025-09-19,Late Delivery,High,80,5,Current
279,585,3643,2025-03-20,Late Delivery,Medium,55,7,Current
280,943,3580,2025-04-06,Late Delivery,High,46,7,Current
281,457,3135,2024-03-23,Late Delivery,High,23,5,Current
282,705,7893,2025-08-31,Order Status,Low,19,10,Future
283,880,11978,2025-05-02,Refund Request,High,23,5,Current
284,155,6086,2025-11-25,Order Status,High,89,4,Current
285,216,1560,2024-12-01,Refund Request,High,67,3,Current
286,288,1712,2024-09-22,Order Status,Medium,32,10,Future
287,729,6393,2025-10-12,Refund Request,High,85,5,Current
288,813,4113,2025-07-18,Order Status,Low,8,10,Future
289,680,3079,2025-09-12,Late Delivery,High,37,6,Current
290,427,11847,2025-02-13,Refund Request,Critical,77,5,Current
291,978,6898,2025-11-21,Refund Request,High,27,5,Current
292,409,6211,2025-04-14,Late Delivery,High,25,8,Future
293,212,1341,2025-06-28,Order Status,Low,25,10,Future
294,147,1819,2024-10-17,Late Delivery,Low,47,4,Current
295,526,6004,2025-09-07,Wrong Item,Low,91,4,Current
296,134,6963,2025-12-23,Order Status,Low,87,5,Current
297,181,2597,2025-12-14,Stock Availability,High,87,4,Current
298,240,9309,2025-05-10,Late Delivery,High,65,4,Current
299,737,6417,2025-02-19,Refund Request,Medium,61,7,Current
300,711,4368,2025-09-21,Wrong Item,High,29,10,Future
301,762,3694,2025-10-18,Late Delivery,Critical,46,5,Current
302,425,7611,2024-08-19,Late Delivery,Medium,36,9,Future
303,159,2919,2025-11-03,Stock Availability,Medium,94,3,Current
304,90,1431,2025-10-06,Late Delivery,Critical,23,6,Current
305,43,7445,2025-06-21,Refund Request,Medium,19,8,Future
306,869,6862,2025-11-02,Stock Availability,Low,48,7,Current
307,744,10805,2025-09-14,Refund Request,Medium,6,7,Future
308,975,11435,2025-10-09,Late Delivery,Medium,34,6,Current
309,544,10436,2025-03-25,Late Delivery,Low,10,7,Future
310,701,11548,2025-07-29,Late Delivery,Medium,40,6,Current
311,671,8822,2025-08-21,Damaged Product,Medium,23,6,Current
312,208,7132,2025-10-06,Refund Request,High,19,3,Current
313,939,5153,2025-05-25,Stock Availability,Critical,34,4,Current
314,884,7508,2025-09-20,Damaged Product,Low,79,6,Current
315,951,9170,2024-12-27,Order Status,Medium,29,4,Current
316,230,4306,2024-07-15,Stock Availability,Medium,91,5,Current
317,665,11672,2025-08-20,Late Delivery,High,52,7,Current
318,710,2271,2025-12-23,Late Delivery,Critical,80,5,Current
319,548,4327,2025-03-26,Stock Availability,High,26,9,Future
320,289,5978,2024-11-09,Refund Request,High,33,7,Current
321,869,2393,2025-11-28,Refund Request,High,27,8,Future
322,203,8157,2025-11-25,Late Delivery,Medium,45,4,Current
323,568,8912,2025-11-04,Late Delivery,High,64,4,Current
324,307,10363,2025-06-01,Wrong Item,Medium,34,7,Future
325,655,9859,2025-03-16,Order Status,Critical,56,7,Current
326,835,3024,2025-11-26,Refund Request,Low,53,6,Current
327,811,8763,2025-12-26,Refund Request,High,78,6,Current
328,606,2946,2025-11-11,Late Delivery,Medium,77,3,Current
329,992,7171,2025-10-31,Stock Availability,Medium,25,10,Future
330,128,3057,2025-01-16,Order Status,Low,37,4,Current
331,91,7484,2025-07-07,Late Delivery,Medium,57,4,Current
332,587,3668,2025-05-17,Late Delivery,Medium,46,3,Current
333,882,8797,2025-12-26,Late Delivery,Medium,41,3,Current
334,837,8751,2025-01-31,Refund Request,Medium,27,8,Future
335,456,1896,2025-12-09,Wrong Item,High,82,5,Current
336,384,5459,2025-04-15,Late Delivery,Low,68,7,Current
337,159,4794,2025-12-02,Order Status,Low,87,7,Current
338,199,3474,2025-02-11,Damaged Product,Medium,64,3,Current
339,699,7459,2025-12-15,Refund Request,High,61,6,Current
340,383,4630,2025-07-25,Order Status,Low,18,7,Future
341,577,6087,2025-07-01,Stock Availability,Medium,51,6,Current
342,213,5659,2025-09-28,Order Status,High,19,9,Future
343,729,10220,2025-07-17,Stock Availability,Critical,51,6,Current
344,513,6082,2025-09-10,Refund Request,High,75,6,Current
345,59,435,2025-07-24,Wrong Item,High,27,8,Future
346,277,7030,2025-10-09,Wrong Item,Medium,95,5,Current
347,151,10975,2025-04-01,Late Delivery,Critical,66,7,Current
348,209,1101,2025-12-27,Late Delivery,Medium,37,6,Current
349,619,3800,2025-08-22,Late Delivery,High,60,3,Current
350,617,6050,2025-08-05,Damaged Product,Medium,63,3,Current
351,106,7811,2024-04-29,Late Delivery,High,62,7,Current
352,392,7369,2025-09-07,Refund Request,Medium,30,6,Current
353,579,3861,2025-12-30,Refund Request,Low,31,7,Future
354,169,934,2024-11-22,Damaged Product,High,31,4,Current
355,175,5003,2025-09-09,Late Delivery,Critical,49,3,Current
356,81,4605,2025-12-24,Late Delivery,High,96,5,Current
357,421,11992,2025-03-14,Late Delivery,Medium,75,4,Current
358,688,8761,2025-11-16,Damaged Product,High,19,6,Current
359,430,4912,2025-04-13,Damaged Product,Medium,75,4,Current
360,453,171,2025-12-18,Late Delivery,Critical,84,6,Current
361,693,8966,2024-08-31,Wrong Item,Medium,7,9,Future
362,55,9705,2024-10-23,Stock Availability,High,26,7,Current
363,494,10794,2025-12-20,Stock Availability,Low,63,4,Current
364,994,9128,2025-06-04,Wrong Item,Low,35,7,Future
365,287,11661,2025-09-03,Order Status,Medium,24,3,Current
366,719,4576,2025-11-16,Late Delivery,High,86,7,Current
367,7,6350,2025-09-06,Order Status,Low,15,7,Future
368,360,4140,2025-12-20,Late Delivery,Low,32,4,Current
369,28,1214,2024-10-10,Refund Request,Critical,88,6,Current
370,700,9313,2024-08-17,Stock Availability,Critical,46,4,Current
371,30,7382,2025-12-25,Order Status,Medium,24,6,Current
372,860,15,2025-10-25,Late Delivery,Medium,24,4,Current
373,845,10188,2025-07-09,Late Delivery,Low,57,5,Current
374,937,636,2025-01-31,Damaged Product,High,56,6,Current
375,591,5529,2025-02-08,Refund Request,Medium,25,3,Current
376,854,10487,2025-12-11,Order Status,Medium,36,10,Future
377,278,3348,2025-04-17,Refund Request,Low,19,8,Future
378,94,4997,2025-02-24,Late Delivery,Medium,89,5,Current
379,795,9665,2025-12-19,Late Delivery,Low,22,6,Current
380,122,3373,2025-08-20,Stock Availability,High,90,5,Current
381,249,3172,2025-11-21,Stock Availability,Medium,20,7,Future
382,46,316,2025-11-12,Stock Availability,Medium,21,7,Current
383,313,6404,2024-09-16,Late Delivery,Low,89,6,Current
384,477,5061,2025-05-22,Stock Availability,Low,34,6,Current
385,262,1626,2025-07-15,Damaged Product,Low,33,10,Future
386,571,1372,2025-06-27,Late Delivery,Low,6,9,Future
387,311,11613,2024-06-27,Late Delivery,High,28,3,Current
388,491,7,2025-12-18,Stock Availability,High,57,5,Current
389,742,6205,2025-09-08,Late Delivery,Critical,56,7,Current
390,443,10520,2025-08-05,Order Status,Medium,27,3,Current
391,84,8587,2025-02-12,Refund Request,Critical,39,7,Current
392,33,1085,2025-11-29,Wrong Item,Medium,76,7,Current
393,605,8029,2025-12-04,Refund Request,High,42,7,Current
394,227,1348,2025-12-28,Stock Availability,Medium,47,5,Current
395,72,4734,2025-10-15,Order Status,High,32,8,Future
396,62,10709,2025-12-04,Refund Request,Medium,37,7,Current
397,975,10451,2025-10-18,Refund Request,Critical,9,9,Future
398,692,3932,2024-12-09,Late Delivery,High,24,4,Current
399,513,3628,2025-08-13,Damaged Product,Medium,76,3,Current
400,755,8711,2024-08-05,Order Status,High,25,5,Current
401,500,10044,2025-12-06,Refund Request,Critical,41,5,Current
402,197,8910,2025-07-19,Late Delivery,High,24,4,Current
403,286,3038,2024-06-22,Refund Request,Low,62,6,Current
404,744,1272,2025-12-21,Order Status,Medium,41,5,Current
405,894,8465,2025-08-27,Damaged Product,High,71,4,Current
406,789,4154,2025-12-06,Refund Request,Medium,18,9,Future
407,210,6311,2025-08-13,Damaged Product,High,90,6,Current
408,779,7163,2025-10-13,Wrong Item,Critical,25,6,Current
409,819,6072,2025-04-10,Late Delivery,Critical,71,4,Current
410,884,6735,2024-12-29,Late Delivery,High,40,6,Current
411,135,1973,2025-12-30,Late Delivery,Low,53,3,Current
412,208,2977,2025-11-30,Order Status,Critical,27,9,Future
413,769,7967,2025-04-20,Order Status,Critical,33,10,Future
414,243,3383,2025-07-17,Stock Availability,Medium,23,6,Current
415,274,11045,2025-12-08,Refund Request,Medium,25,9,Future
416,594,5019,2024-08-07,Late Delivery,High,37,7,Current
417,139,4608,2025-03-04,Damaged Product,Medium,54,6,Current
418,80,8875,2025-11-20,Order Status,Medium,13,9,Future
419,29,2971,2025-08-08,Damaged Product,Medium,45,3,Current
420,30,7697,2025-12-02,Late Delivery,Medium,72,3,Current
421,887,3832,2024-06-07,Late Delivery,Critical,80,3,Current
422,885,4502,2025-09-15,Stock Availability,High,7,8,Future
423,236,9642,2024-11-18,Refund Request,Low,28,7,Future
424,920,4339,2025-02-06,Refund Request,Low,29,6,Current
425,48,6246,2025-10-21,Stock Availability,High,57,5,Current
426,933,1965,2025-10-29,Damaged Product,Medium,27,10,Future
427,884,7508,2025-03-24,Late Delivery,High,58,4,Current
428,89,6630,2025-07-10,Stock Availability,Low,7,9,Future
429,841,570,2024-05-27,Order Status,Medium,8,8,Future
430,70,6460,2024-10-09,Late Delivery,Medium,43,4,Current
431,791,8405,2025-02-28,Order Status,Medium,26,9,Future
432,173,7667,2025-03-30,Wrong Item,Low,23,9,Future
433,631,9847,2025-08-31,Late Delivery,Medium,64,5,Current
434,883,8291,2025-04-10,Late Delivery,Medium,30,3,Current
435,830,9680,2025-10-13,Order Status,High,10,7,Future
436,83,8082,2025-12-15,Damaged Product,Medium,34,9,Future
437,503,5752,2025-03-14,Stock Availability,Medium,21,6,Current
438,61,8370,2025-11-24,Late Delivery,High,46,5,Current
439,310,6136,2025-12-13,Late Delivery,High,48,5,Current
440,859,1616,2024-11-25,Refund Request,Medium,55,3,Current
441,773,4900,2025-12-12,Refund Request,High,45,6,Current
442,521,606,2024-11-27,Damaged Product,High,81,3,Current
443,828,225,2025-12-23,Order Status,Medium,10,8,Future
444,146,1953,2025-11-19,Stock Availability,Medium,75,4,Current
445,672,9796,2025-12-24,Late Delivery,High,66,3,Current
446,810,2358,2025-10-27,Damaged Product,Low,25,9,Future
447,704,222,2024-11-20,Refund Request,Medium,9,7,Future
448,577,6087,2025-01-18,Order Status,Critical,33,4,Current
449,294,10666,2025-05-28,Refund Request,Medium,54,4,Current
450,122,3467,2025-09-12,Refund Request,Medium,68,7,Current
451,321,6694,2025-12-22,Damaged Product,Medium,22,9,Future
452,8,5123,2025-10-13,Wrong Item,Medium,20,7,Future
453,822,5583,2025-01-16,Order Status,Medium,40,7,Current
